"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/5/2014 2:35:41,499,10/4/2014 19:35:41,12/3/2015 18:59:30,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/5/2014 3:19:31,200,10/4/2014 20:19:31,12/3/2015 19:45:01,0,"fm sweeps                                                                                                                                                                                                                                                      "
3,10/5/2014 3:32:52,700,10/4/2014 20:32:52,12/3/2015 19:58:21,0,"fm sweeps                                                                                                                                                                                                                                                      "
4,10/5/2014 3:54:04,900,10/4/2014 20:54:04,12/3/2015 20:37:59,0,"fm sweep                                                                                                                                                                                                                                                       "
5,10/5/2014 3:57:40,200,10/4/2014 20:57:40,12/3/2015 20:41:34,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,10/5/2014 3:58:11,600,10/4/2014 20:58:11,12/3/2015 20:42:06,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
7,10/5/2014 4:04:42,299,10/4/2014 21:04:42,12/3/2015 20:48:37,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,10/5/2014 4:11:41,199,10/4/2014 21:11:41,12/3/2015 20:55:35,0,"fm sweeps                                                                                                                                                                                                                                                      "
9,10/5/2014 4:23:18,400,10/4/2014 21:23:18,12/3/2015 21:07:10,0,"fm sweeps                                                                                                                                                                                                                                                      "
10,10/5/2014 4:35:43,700,10/4/2014 21:35:43,12/3/2015 21:19:39,2,"END EFFORT                                                                                                                                                                                                                                                     "
