"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/23/2014 2:03:58,700,10/22/2014 19:03:58,1/6/2016 21:57:40,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/23/2014 2:04:20,800,10/22/2014 19:04:20,1/6/2016 21:58:59,0,"20-30Hz fin whale calls                                                                                                                                                                                                                                        "
3,10/23/2014 2:10:14,0,10/22/2014 19:10:14,1/6/2016 22:07:59,0,"fm sweep                                                                                                                                                                                                                                                       "
4,10/23/2014 2:13:15,800,10/22/2014 19:13:15,1/6/2016 22:12:01,0,"15-20Hz back beats preesent                                                                                                                                                                                                                                    "
5,10/23/2014 2:18:38,100,10/22/2014 19:18:38,1/6/2016 22:23:11,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,10/23/2014 2:27:13,200,10/22/2014 19:27:13,1/6/2016 22:50:52,0,"fm sweeps                                                                                                                                                                                                                                                      "
7,10/23/2014 2:34:57,900,10/22/2014 19:34:57,1/6/2016 23:28:49,2,"END EFFORT                                                                                                                                                                                                                                                     "
