"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/25/2014 2:07:54,100,10/24/2014 19:07:54,1/19/2016 20:23:18,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/25/2014 3:58:04,300,10/24/2014 20:58:04,1/19/2016 22:00:59,0,"both channels are starting to get faint in signal                                                                                                                                                                                                              "
3,10/25/2014 4:02:07,700,10/24/2014 21:02:07,1/19/2016 22:03:01,2,"END EFFORT                                                                                                                                                                                                                                                     "
4,10/25/2014 4:02:43,300,10/24/2014 21:02:43,1/19/2016 22:03:19,0,"signal is too far gone and ship is steaming away from the sonobuoys                                                                                                                                                                                            "
