"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/8/2014 3:28:38,200,9/7/2014 20:28:38,10/27/2015 18:32:30,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/8/2014 3:28:57,200,9/7/2014 20:28:57,10/27/2015 18:34:39,0,"interesting potential call in the 25-30 Hz range. maybe fin whale but doesn't have downsweep to it                                                                                                                                                             "
3,9/8/2014 3:31:30,600,9/7/2014 20:31:30,10/27/2015 18:39:49,0,"fm sweep                                                                                                                                                                                                                                                       "
4,9/8/2014 3:42:33,900,9/7/2014 20:42:33,10/27/2015 18:58:17,0,"lots of 40 Hz calls                                                                                                                                                                                                                                            "
5,9/8/2014 3:44:09,600,9/7/2014 20:44:09,10/27/2015 19:02:01,0,"really really strong fm sweeps                                                                                                                                                                                                                                 "
6,9/8/2014 3:44:16,300,9/7/2014 20:44:16,10/27/2015 19:02:15,0,"almost as if the animal is right next to the buoy                                                                                                                                                                                                              "
7,9/8/2014 3:44:21,700,9/7/2014 20:44:21,10/27/2015 19:02:25,0,"only on ch0                                                                                                                                                                                                                                                    "
8,9/8/2014 3:50:27,100,9/7/2014 20:50:27,10/27/2015 19:08:48,0,"strange sound is back from earlier in the recording between 18-30 Hz                                                                                                                                                                                           "
9,9/8/2014 3:50:47,900,9/7/2014 20:50:47,10/27/2015 19:09:09,0,"Very blurry audio                                                                                                                                                                                                                                              "
10,9/8/2014 3:52:02,700,9/7/2014 20:52:02,10/27/2015 19:10:24,0,"a 40 hz call is mixing in with the noisy call                                                                                                                                                                                                                  "
11,9/8/2014 4:09:37,300,9/7/2014 21:09:37,10/27/2015 19:41:30,0,"ch 0 is getting weak but the boat is turning back towards it                                                                                                                                                                                                   "
12,9/8/2014 4:56:54,0,9/7/2014 21:56:54,10/27/2015 20:39:54,2,"END EFFORT                                                                                                                                                                                                                                                     "
13,9/8/2014 4:57:12,300,9/7/2014 21:57:12,10/27/2015 20:40:12,0,"Signal on ch0 is now gone                                                                                                                                                                                                                                      "
