"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/10/2014 4:07:44,400,9/9/2014 21:07:44,11/2/2015 17:36:26,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/10/2014 4:10:45,600,9/9/2014 21:10:45,11/2/2015 17:53:38,0,"fm sweeps                                                                                                                                                                                                                                                      "
3,9/10/2014 4:14:37,500,9/9/2014 21:14:37,11/2/2015 18:01:48,0,"lots of 40 Hz calls                                                                                                                                                                                                                                            "
4,9/10/2014 4:19:39,900,9/9/2014 21:19:39,11/2/2015 18:13:43,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,9/10/2014 4:31:10,600,9/9/2014 21:31:10,11/2/2015 18:59:04,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,9/10/2014 4:43:01,100,9/9/2014 21:43:01,11/2/2015 19:29:53,0,"interesting 99 hz tone, 20s                                                                                                                                                                                                                                    "
7,9/10/2014 4:44:13,300,9/9/2014 21:44:13,11/2/2015 19:34:25,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,9/10/2014 4:50:14,700,9/9/2014 21:50:14,11/2/2015 19:49:49,0,"fm sweeps                                                                                                                                                                                                                                                      "
9,9/10/2014 4:52:12,300,9/9/2014 21:52:12,11/2/2015 19:54:24,0,"99 hz tone is back and this time only on ch0. last time was just ch1                                                                                                                                                                                           "
10,9/10/2014 4:52:24,900,9/9/2014 21:52:24,11/2/2015 19:55:19,0,"fm sweeps                                                                                                                                                                                                                                                      "
11,9/10/2014 5:00:13,0,9/9/2014 22:00:13,11/2/2015 20:07:06,2,"END EFFORT                                                                                                                                                                                                                                                     "
