"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/17/2014 3:53:46,100,9/16/2014 20:53:46,11/9/2015 18:45:31,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/17/2014 3:56:21,200,9/16/2014 20:56:21,11/9/2015 18:52:29,0,"possible fin whale calls but very short bandwidth (22-26 Hz)                                                                                                                                                                                                   "
3,9/17/2014 3:56:34,500,9/16/2014 20:56:34,11/9/2015 18:53:22,0,"40 seconds ago there was an fm sweep                                                                                                                                                                                                                           "
4,9/17/2014 3:56:51,800,9/16/2014 20:56:51,11/9/2015 18:54:31,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,9/17/2014 3:57:56,300,9/16/2014 20:57:56,11/9/2015 18:57:14,0,"d-calls                                                                                                                                                                                                                                                        "
6,9/17/2014 4:01:40,0,9/16/2014 21:01:40,11/9/2015 19:06:50,0,"notes say that humpacks were present during the recording and it appears that there may be some low harmonics from their calls present                                                                                                                         "
7,9/17/2014 4:11:51,800,9/16/2014 21:11:51,11/9/2015 19:25:23,0,"d-call                                                                                                                                                                                                                                                         "
8,9/17/2014 4:13:26,300,9/16/2014 21:13:26,11/9/2015 19:28:51,0,"fm sweeps                                                                                                                                                                                                                                                      "
9,9/17/2014 4:14:29,900,9/16/2014 21:14:29,11/9/2015 19:30:40,0,"interesting fm sweeps at varing frequencies                                                                                                                                                                                                                    "
10,9/17/2014 4:15:10,300,9/16/2014 21:15:10,11/9/2015 19:31:21,0,"d-call                                                                                                                                                                                                                                                         "
11,9/17/2014 4:24:12,100,9/16/2014 21:24:12,11/9/2015 19:45:47,0,"d-call                                                                                                                                                                                                                                                         "
12,9/17/2014 4:30:52,200,9/16/2014 21:30:52,11/9/2015 19:59:56,0,"fm sweeps                                                                                                                                                                                                                                                      "
13,9/17/2014 4:45:45,200,9/16/2014 21:45:45,11/9/2015 20:22:40,0,"got the fundmental of the A call                                                                                                                                                                                                                               "
14,9/17/2014 4:52:19,600,9/16/2014 21:52:19,11/9/2015 21:04:28,0,"fm sweeps                                                                                                                                                                                                                                                      "
15,9/17/2014 4:59:36,900,9/16/2014 21:59:36,11/9/2015 21:14:17,0,"fm sweep                                                                                                                                                                                                                                                       "
16,9/17/2014 5:09:23,500,9/16/2014 22:09:23,11/9/2015 21:25:21,0,"fm sweesp                                                                                                                                                                                                                                                      "
17,9/17/2014 5:14:34,600,9/16/2014 22:14:34,11/9/2015 21:34:00,0,"fm sweeps                                                                                                                                                                                                                                                      "
18,9/17/2014 5:15:43,800,9/16/2014 22:15:43,11/9/2015 21:35:09,0,"d-call                                                                                                                                                                                                                                                         "
19,9/17/2014 5:18:17,500,9/16/2014 22:18:17,11/9/2015 21:49:42,0,"move fm sweeps and d-calls mixed in                                                                                                                                                                                                                            "
20,9/17/2014 5:27:03,800,9/16/2014 22:27:03,11/9/2015 22:03:45,0,"signal is getting weak on both channels                                                                                                                                                                                                                        "
21,9/17/2014 5:28:56,400,9/16/2014 22:28:56,11/9/2015 22:06:01,0,"signal has not faded too much for data collection.                                                                                                                                                                                                             "
22,9/17/2014 5:29:02,100,9/16/2014 22:29:02,11/9/2015 22:06:07,2,"END EFFORT                                                                                                                                                                                                                                                     "
