"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/12/2014 5:01:49,300,8/11/2014 22:01:49,2/22/2016 20:50:31,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/12/2014 5:03:25,700,8/11/2014 22:03:25,2/22/2016 20:51:48,0,"fm sweep                                                                                                                                                                                                                                                       "
3,8/12/2014 5:08:33,800,8/11/2014 22:08:33,2/22/2016 20:55:38,0,"fm sweep. possible d call                                                                                                                                                                                                                                      "
4,8/12/2014 5:09:28,700,8/11/2014 22:09:28,2/22/2016 20:57:20,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,8/12/2014 5:13:07,400,8/11/2014 22:13:07,2/22/2016 21:01:11,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
6,8/12/2014 5:13:11,700,8/11/2014 22:13:11,2/22/2016 21:01:28,0,"20-25 Hz fin whale calls                                                                                                                                                                                                                                       "
7,8/12/2014 5:43:14,900,8/11/2014 22:43:14,2/22/2016 21:20:47,0,"fm sweep - possible d call                                                                                                                                                                                                                                     "
8,8/12/2014 5:43:51,700,8/11/2014 22:43:51,2/22/2016 21:21:17,0,"25-38 Hz calls                                                                                                                                                                                                                                                 "
9,8/12/2014 6:03:23,199,8/11/2014 23:03:23,2/22/2016 21:35:20,0,"lots of 25-40 Hz calls                                                                                                                                                                                                                                         "
10,8/12/2014 6:06:45,600,8/11/2014 23:06:45,2/22/2016 21:37:21,0,"Both channels are starting to fade                                                                                                                                                                                                                             "
11,8/12/2014 6:07:15,200,8/11/2014 23:07:15,2/22/2016 21:37:36,2,"END EFFORT                                                                                                                                                                                                                                                     "
12,8/12/2014 6:07:56,800,8/11/2014 23:07:56,2/22/2016 21:37:57,0,"Channels faded and the ship is steaming away                                                                                                                                                                                                                   "
