"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,11/13/2014 3:01:11,700,11/12/2014 19:01:11,2/4/2016 18:25:48,0,"Calibration was done completely in the previous file and forced to be Ch 0: 11.5 and Ch 1: 8.5 degrees                                                                                                                                                         "
2,11/13/2014 4:18:34,400,11/12/2014 20:18:34,2/4/2016 18:31:37,1,"START EFFORT                                                                                                                                                                                                                                                   "
3,11/13/2014 4:20:46,200,11/12/2014 20:20:46,2/4/2016 18:35:59,0,"20-30 Hz fin whale calls are constant                                                                                                                                                                                                                          "
4,11/13/2014 5:02:00,200,11/12/2014 21:02:00,2/4/2016 20:40:59,2,"END EFFORT                                                                                                                                                                                                                                                     "
