"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/8/2014 3:12:59,700,10/7/2014 20:12:59,12/9/2015 0:00:57,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/8/2014 5:01:44,300,10/7/2014 22:01:44,12/9/2015 0:57:29,0,"channel 1 is starting to fade and the ship is headed away from the sonobuoys                                                                                                                                                                                   "
3,10/8/2014 5:02:34,400,10/7/2014 22:02:34,12/9/2015 0:57:54,0,"END EFFORT                                                                                                                                                                                                                                                     "
4,10/8/2014 5:03:04,800,10/7/2014 22:03:04,12/9/2015 0:58:09,2,"lost reliable signal on channel 1                                                                                                                                                                                                                              "
