"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/3/2014 2:38:35,100,10/2/2014 19:38:35,11/25/2015 18:09:51,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/3/2014 2:44:02,800,10/2/2014 19:44:02,11/25/2015 18:15:47,0,"20-30Hz  possible fin whale calls                                                                                                                                                                                                                              "
3,10/3/2014 3:14:18,900,10/2/2014 20:14:18,11/25/2015 18:53:45,0,"faint continuous blue whale b call                                                                                                                                                                                                                             "
4,10/3/2014 3:22:08,200,10/2/2014 20:22:08,11/25/2015 19:01:27,0,"fm sweep                                                                                                                                                                                                                                                       "
5,10/3/2014 3:22:49,700,10/2/2014 20:22:49,11/25/2015 19:02:08,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,10/3/2014 3:48:48,100,10/2/2014 20:48:48,11/25/2015 19:42:18,0,"20-30Hz call and 40Hz sweep for fin whales                                                                                                                                                                                                                     "
7,10/3/2014 3:54:54,300,10/2/2014 20:54:54,11/25/2015 19:48:36,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,10/3/2014 4:11:03,200,10/2/2014 21:11:03,11/25/2015 20:08:57,0,"fm sweep                                                                                                                                                                                                                                                       "
9,10/3/2014 4:12:32,800,10/2/2014 21:12:32,11/25/2015 20:10:26,0,"ch1 is starting to fade                                                                                                                                                                                                                                        "
10,10/3/2014 4:15:27,599,10/2/2014 21:15:27,11/25/2015 20:13:20,0,"fm sweep                                                                                                                                                                                                                                                       "
11,10/3/2014 4:17:14,100,10/2/2014 21:17:14,11/25/2015 20:15:06,0,"loosing ch0 too                                                                                                                                                                                                                                                "
12,10/3/2014 4:17:22,300,10/2/2014 21:17:22,11/25/2015 20:15:15,2,"END EFFORT                                                                                                                                                                                                                                                     "
13,10/3/2014 4:17:43,400,10/2/2014 21:17:43,11/25/2015 20:15:36,0,"Both channels have faded out to far and the ship is heading away                                                                                                                                                                                               "
