"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,11/27/2014 1:22:47,400,11/26/2014 17:22:47,2/16/2016 18:54:05,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,11/27/2014 1:23:58,600,11/26/2014 17:23:58,2/16/2016 18:56:36,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
3,11/27/2014 1:27:34,100,11/26/2014 17:27:34,2/16/2016 19:00:42,0,"ch 1 is very faint. not sure what is going on at the moment                                                                                                                                                                                                    "
4,11/27/2014 3:23:35,100,11/26/2014 19:23:35,2/16/2016 21:47:24,2,"END EFFORT                                                                                                                                                                                                                                                     "
