"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/12/2014 2:19:32,800,10/11/2014 19:19:32,12/22/2015 22:57:12,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/12/2014 2:20:32,600,10/11/2014 19:20:32,12/22/2015 22:58:31,0,"20-30Hz possible fin whale calls                                                                                                                                                                                                                               "
3,10/12/2014 2:22:55,600,10/11/2014 19:22:55,12/22/2015 23:01:32,0,"Back beat fin whale calls present (15-20Hz)                                                                                                                                                                                                                    "
4,10/12/2014 2:26:10,500,10/11/2014 19:26:10,12/22/2015 23:05:49,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,10/12/2014 2:26:20,800,10/11/2014 19:26:20,12/22/2015 23:05:59,0,"around 75Hz                                                                                                                                                                                                                                                    "
6,10/12/2014 2:33:20,500,10/11/2014 19:33:20,12/22/2015 23:13:42,0,"fm sweeps                                                                                                                                                                                                                                                      "
7,10/12/2014 2:48:21,800,10/11/2014 19:48:21,12/22/2015 23:30:22,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,10/12/2014 2:53:03,400,10/11/2014 19:53:03,12/22/2015 23:35:24,0,"more back beats (15-20Hz)                                                                                                                                                                                                                                      "
9,10/12/2014 3:04:21,300,10/11/2014 20:04:21,12/22/2015 23:49:09,0,"fm sweeps                                                                                                                                                                                                                                                      "
10,10/12/2014 3:15:03,299,10/11/2014 20:15:03,12/23/2015 0:00:54,0,"fm sweeps                                                                                                                                                                                                                                                      "
11,10/12/2014 3:21:37,300,10/11/2014 20:21:37,12/23/2015 0:13:04,0,"fm sweeps                                                                                                                                                                                                                                                      "
12,10/12/2014 3:24:41,200,10/11/2014 20:24:41,12/23/2015 0:17:12,0,"more good 20-30Hz possible fin whale calls                                                                                                                                                                                                                     "
13,10/12/2014 3:32:53,0,10/11/2014 20:32:53,12/23/2015 0:25:34,0,"lots of fm sweeps and the notes say that there was a humpback in the area before deployment of the buoys                                                                                                                                                       "
14,10/12/2014 3:55:59,800,10/11/2014 20:55:59,12/23/2015 0:52:06,0,"Channel 1 is starting to fade                                                                                                                                                                                                                                  "
15,10/12/2014 3:59:10,300,10/11/2014 20:59:10,12/23/2015 0:55:01,2,"END EFFORT                                                                                                                                                                                                                                                     "
16,10/12/2014 3:59:24,200,10/11/2014 20:59:24,12/23/2015 0:55:56,0,"Channel 1 lost too much signal to continue effort                                                                                                                                                                                                              "
