"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,11/30/2014 1:18:15,800,11/29/2014 17:18:15,2/17/2016 20:13:27,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,11/30/2014 1:30:25,200,11/29/2014 17:30:25,2/17/2016 20:21:11,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
3,11/30/2014 3:18:17,300,11/29/2014 19:18:17,2/17/2016 21:22:01,2,"END EFFORT                                                                                                                                                                                                                                                     "
