"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/11/2014 2:13:48,999,10/10/2014 19:13:48,12/22/2015 18:36:17,0,"Calibration is forced to be 12.5 degrees for both channels based on part 1 of the processing                                                                                                                                                                   "
2,10/11/2014 3:39:47,800,10/10/2014 20:39:47,12/22/2015 18:45:09,1,"START EFFORT                                                                                                                                                                                                                                                   "
3,10/11/2014 3:46:15,0,10/10/2014 20:46:15,12/22/2015 19:02:38,0,"fm sweep                                                                                                                                                                                                                                                       "
4,10/11/2014 3:55:57,700,10/10/2014 20:55:57,12/22/2015 19:41:15,0,"tons of 20-30Hz possible fin whale calls                                                                                                                                                                                                                       "
5,10/11/2014 3:58:05,0,10/10/2014 20:58:05,12/22/2015 20:14:23,0,"all kinds of fin whale like calls but no definite classic calls mixed in                                                                                                                                                                                       "
6,10/11/2014 4:18:14,700,10/10/2014 21:18:14,12/22/2015 21:38:13,2,"END EFFORT                                                                                                                                                                                                                                                     "
