"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/6/2014 2:20:48,0,10/5/2014 19:20:48,12/7/2015 20:12:45,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/6/2014 2:20:50,900,10/5/2014 19:20:50,12/7/2015 20:13:33,0,"20-30Hz possible fin whale calls                                                                                                                                                                                                                               "
3,10/6/2014 4:09:50,100,10/5/2014 21:09:50,12/7/2015 22:39:07,0,"fm sweep                                                                                                                                                                                                                                                       "
4,10/6/2014 4:20:51,100,10/5/2014 21:20:51,12/7/2015 22:50:33,2,"END EFFORT                                                                                                                                                                                                                                                     "
