"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/18/2014 3:11:33,700,8/17/2014 20:11:33,10/5/2015 18:54:01,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/18/2014 3:50:56,900,8/17/2014 20:50:56,10/5/2015 19:36:10,2,"END EFFORT                                                                                                                                                                                                                                                     "
3,8/18/2014 3:51:38,100,8/17/2014 20:51:38,10/5/2015 19:36:52,0,"Channel 0 lost signal and the ship is steaming away.                                                                                                                                                                                                           "
4,8/18/2014 3:51:59,700,8/17/2014 20:51:59,10/5/2015 19:37:13,0,"No blue whale a or b calls, or fin whale classic calls                                                                                                                                                                                                         "
