"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,11/2/2014 1:30:14,0,11/1/2014 18:30:14,1/21/2016 19:10:54,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,11/2/2014 1:38:34,700,11/1/2014 18:38:34,1/21/2016 19:16:04,0,"20-30Hz possible fin whale calls                                                                                                                                                                                                                               "
3,11/2/2014 1:47:09,400,11/1/2014 18:47:09,1/21/2016 19:32:24,0,"lots of 20-30Hz fin whale calls                                                                                                                                                                                                                                "
4,11/2/2014 1:50:20,0,11/1/2014 18:50:20,1/21/2016 19:37:02,0,"15-20Hz fin whale back beats present                                                                                                                                                                                                                           "
5,11/2/2014 1:14:30,800,11/1/2014 19:14:30,1/21/2016 19:58:55,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,11/2/2014 1:27:27,300,11/1/2014 19:27:27,1/21/2016 20:05:55,0,"fm sweeps                                                                                                                                                                                                                                                      "
7,11/2/2014 1:28:02,700,11/1/2014 19:28:02,1/21/2016 20:06:13,0,"Channel 1 is start to fade a bit                                                                                                                                                                                                                               "
8,11/2/2014 1:34:12,600,11/1/2014 19:34:12,1/21/2016 20:09:18,0,"Both channels are now starting to fade                                                                                                                                                                                                                         "
9,11/2/2014 1:35:03,800,11/1/2014 19:35:03,1/21/2016 20:09:43,0,"Possible END EFFORT                                                                                                                                                                                                                                            "
10,11/2/2014 1:41:10,500,11/1/2014 19:41:10,1/21/2016 20:12:50,2,"END EFFORT                                                                                                                                                                                                                                                     "
11,11/2/2014 1:41:26,700,11/1/2014 19:41:26,1/21/2016 20:13:14,0,"Both channels have become too faint and ship is steaming away                                                                                                                                                                                                  "
