"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/6/2014 2:23:15,900,9/5/2014 19:23:15,10/23/2015 17:06:33,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/6/2014 2:28:31,200,9/5/2014 19:28:31,10/23/2015 17:14:21,0,"possible fin whale calls but higher than the classic call frequency                                                                                                                                                                                            "
3,9/6/2014 2:31:49,300,9/5/2014 19:31:49,10/23/2015 17:17:47,0,"27 Hz tone 10 seconds in length. couple of them                                                                                                                                                                                                                "
4,9/6/2014 2:37:27,900,9/5/2014 19:37:27,10/23/2015 17:37:46,0,"fm sweep around 62 Hz                                                                                                                                                                                                                                          "
5,9/6/2014 2:44:26,300,9/5/2014 19:44:26,10/23/2015 17:49:04,0,"fm sweeps at 62 hz                                                                                                                                                                                                                                             "
6,9/6/2014 2:45:43,600,9/5/2014 19:45:43,10/23/2015 17:53:29,0,"more higher freq fin whale calls                                                                                                                                                                                                                               "
7,9/6/2014 2:58:31,200,9/5/2014 19:58:31,10/23/2015 18:07:31,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,9/6/2014 3:03:30,499,9/5/2014 20:03:30,10/23/2015 18:13:08,0,"more higher freq fin whale calls                                                                                                                                                                                                                               "
9,9/6/2014 3:06:50,500,9/5/2014 20:06:50,10/23/2015 18:25:55,0,"fm sweeps                                                                                                                                                                                                                                                      "
10,9/6/2014 3:20:34,400,9/5/2014 20:20:34,10/23/2015 19:02:20,0,"more 40 Hz fin whale calls. lots                                                                                                                                                                                                                               "
11,9/6/2014 3:23:02,600,9/5/2014 20:23:02,10/23/2015 19:05:23,0,"fm sweeps                                                                                                                                                                                                                                                      "
12,9/6/2014 3:24:31,0,9/5/2014 20:24:31,10/23/2015 19:08:17,0,"fm sweeps                                                                                                                                                                                                                                                      "
13,9/6/2014 3:30:16,700,9/5/2014 20:30:16,10/23/2015 19:17:45,0,"40 Hz fin calls                                                                                                                                                                                                                                                "
14,9/6/2014 3:47:35,0,9/5/2014 20:47:35,10/23/2015 19:55:23,0,"fm sweep                                                                                                                                                                                                                                                       "
15,9/6/2014 3:51:28,500,9/5/2014 20:51:28,10/23/2015 19:59:17,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
16,9/6/2014 3:59:13,900,9/5/2014 20:59:13,10/23/2015 20:07:02,0,"40 hz fin calls                                                                                                                                                                                                                                                "
17,9/6/2014 4:23:15,800,9/5/2014 21:23:15,10/23/2015 20:47:04,2,"END EFFORT                                                                                                                                                                                                                                                     "
