"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/2/2014 2:54:59,500,10/1/2014 19:54:59,11/24/2015 23:26:03,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/2/2014 3:05:22,800,10/1/2014 20:05:22,11/24/2015 23:36:50,0,"20-30Hz possible fin whale calls                                                                                                                                                                                                                               "
3,10/2/2014 3:09:40,0,10/1/2014 20:09:40,11/24/2015 23:41:07,0,"more 20-30Hz calls                                                                                                                                                                                                                                             "
4,10/2/2014 3:32:22,299,10/1/2014 20:32:22,11/25/2015 0:04:37,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,10/2/2014 3:38:54,400,10/1/2014 20:38:54,11/25/2015 0:07:53,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,10/2/2014 3:39:55,700,10/1/2014 20:39:55,11/25/2015 0:08:23,0,"possibly blue whale d-calls                                                                                                                                                                                                                                    "
7,10/2/2014 3:50:08,900,10/1/2014 20:50:08,11/25/2015 0:13:29,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,10/2/2014 3:50:37,0,10/1/2014 20:50:37,11/25/2015 0:13:43,0,"set of 5 like the previous one                                                                                                                                                                                                                                 "
9,10/2/2014 4:01:32,100,10/1/2014 21:01:32,11/25/2015 0:19:41,0,"fm sweeps                                                                                                                                                                                                                                                      "
10,10/2/2014 4:03:30,600,10/1/2014 21:03:30,11/25/2015 0:20:40,0,"fm sweeps                                                                                                                                                                                                                                                      "
11,10/2/2014 4:12:07,300,10/1/2014 21:12:07,11/25/2015 0:24:59,0,"fm sweeps                                                                                                                                                                                                                                                      "
12,10/2/2014 4:18:37,300,10/1/2014 21:18:37,11/25/2015 0:28:48,0,"fm sweep                                                                                                                                                                                                                                                       "
13,10/2/2014 4:25:01,200,10/1/2014 21:25:01,11/25/2015 0:32:00,0,"fm sweeps                                                                                                                                                                                                                                                      "
14,10/2/2014 4:54:59,700,10/1/2014 21:54:59,11/25/2015 0:47:07,2,"END EFFORT                                                                                                                                                                                                                                                     "
15,10/2/2014 4:55:07,999,10/1/2014 21:55:07,11/25/2015 0:47:42,0,"There were no fin whale classic calls or blue whale a or b calls                                                                                                                                                                                               "
