"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,10/4/2014 2:28:37,200,10/3/2014 19:28:37,11/30/2015 18:26:07,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,10/4/2014 2:30:58,100,10/3/2014 19:30:58,11/30/2015 18:30:42,0,"20-30Hz possible fin whale calls                                                                                                                                                                                                                               "
3,10/4/2014 3:37:06,900,10/3/2014 20:37:06,11/30/2015 19:54:52,0,"still getting 20-30Hz fin whale calls                                                                                                                                                                                                                          "
4,10/4/2014 4:28:42,100,10/3/2014 21:28:42,11/30/2015 20:55:31,2,"END EFFORT                                                                                                                                                                                                                                                     "
