"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/22/2014 3:10:40,100,8/21/2014 20:10:40,2/23/2016 19:51:06,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/22/2014 3:14:57,399,8/21/2014 20:14:57,2/23/2016 19:54:04,0,"fm sweeps                                                                                                                                                                                                                                                      "
3,8/22/2014 3:17:45,700,8/21/2014 20:17:45,2/23/2016 19:56:23,0,"fm sweeps                                                                                                                                                                                                                                                      "
4,8/22/2014 3:19:37,900,8/21/2014 20:19:37,2/23/2016 19:57:19,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,8/22/2014 3:29:26,400,8/21/2014 20:29:26,2/23/2016 20:02:58,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,8/22/2014 3:33:58,400,8/21/2014 20:33:58,2/23/2016 20:06:00,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
7,8/22/2014 3:38:58,700,8/21/2014 20:38:58,2/23/2016 20:08:40,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,8/22/2014 3:47:10,600,8/21/2014 20:47:10,2/23/2016 20:13:28,0,"possible fin whale 40 hz call                                                                                                                                                                                                                                  "
9,8/22/2014 4:31:03,500,8/21/2014 21:31:03,2/23/2016 20:36:56,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
10,8/22/2014 4:56:30,100,8/21/2014 21:56:30,2/23/2016 20:49:50,2,"END EFFORT                                                                                                                                                                                                                                                     "
11,8/22/2014 4:56:47,300,8/21/2014 21:56:47,2/23/2016 20:50:24,0,"Both channels have faded too much for data collection and the ship is steaming away                                                                                                                                                                            "
