"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/15/2014 3:36:37,499,8/14/2014 20:36:37,10/1/2015 18:38:14,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/15/2014 3:57:00,600,8/14/2014 20:57:00,10/1/2015 19:10:19,0,"60 seconds ago there were a couple possible calls that clearly started higher than 250Hz but end around 100Hz                                                                                                                                                  "
3,8/15/2014 3:59:19,0,8/14/2014 20:59:19,10/1/2015 19:17:43,0,"interesting fm sweep                                                                                                                                                                                                                                           "
4,8/15/2014 4:00:09,900,8/14/2014 21:00:09,10/1/2015 19:18:38,0,"possible humpack whale call                                                                                                                                                                                                                                    "
5,8/15/2014 4:04:30,900,8/14/2014 21:04:30,10/1/2015 19:22:59,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,8/15/2014 4:08:29,900,8/14/2014 21:08:29,10/1/2015 19:26:58,0,"fm sweep                                                                                                                                                                                                                                                       "
7,8/15/2014 4:10:58,500,8/14/2014 21:10:58,10/1/2015 19:29:27,0,"interesting call                                                                                                                                                                                                                                               "
8,8/15/2014 4:14:03,200,8/14/2014 21:14:03,10/1/2015 19:32:32,0,"continuous fm sweeps                                                                                                                                                                                                                                           "
9,8/15/2014 4:46:27,400,8/14/2014 21:46:27,10/1/2015 20:09:30,0,"several calls that were marked out looked a lot like calls possibly                                                                                                                                                                                            "
10,8/15/2014 4:54:03,0,8/14/2014 21:54:03,10/1/2015 20:17:13,0,"more unknown calls, but the notes say that there is a humpack whale in the area                                                                                                                                                                                "
11,8/15/2014 4:55:08,300,8/14/2014 21:55:08,10/1/2015 20:18:18,0,"Note I am only looking at 125Hz and lower so more of the call might be above                                                                                                                                                                                   "
12,8/15/2014 5:36:44,100,8/14/2014 22:36:44,10/1/2015 20:53:43,2,"END EFFORT                                                                                                                                                                                                                                                     "
13,8/15/2014 5:37:12,900,8/14/2014 22:37:12,10/1/2015 20:54:11,0,"There were no blue whale A or B calls, and fin whale classic calls                                                                                                                                                                                             "
