"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/20/2014 3:36:18,300,8/19/2014 20:36:18,10/5/2015 20:22:16,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/20/2014 3:36:33,900,8/19/2014 20:36:33,10/5/2015 20:23:51,0,"Calibration of CH0 is used minimal detections due to the issues with the GPS                                                                                                                                                                                   "
3,8/20/2014 3:36:37,300,8/19/2014 20:36:37,10/5/2015 20:24:18,0,"GPS is missing for most of this sonobuoy station                                                                                                                                                                                                               "
4,8/20/2014 3:46:28,900,8/19/2014 20:46:28,10/5/2015 20:34:23,2,"END EFFORT                                                                                                                                                                                                                                                     "
5,8/20/2014 3:46:57,200,8/19/2014 20:46:57,10/5/2015 20:34:51,0,"Ch 1 died out and ch 0 is about to                                                                                                                                                                                                                             "
6,8/20/2014 3:47:27,300,8/19/2014 20:47:27,10/5/2015 20:35:21,0,"No blue whale a or b calls and no fin whale classic calls                                                                                                                                                                                                      "
