"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/1/2014 5:11:35,700,8/31/2014 22:11:35,10/20/2015 17:39:33,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/1/2014 5:22:26,500,8/31/2014 22:22:26,10/20/2015 18:13:59,0,"starting with group 298 the calibration needs to be added to each detection.                                                                                                                                                                                   "
3,9/1/2014 5:22:28,400,8/31/2014 22:22:28,10/20/2015 18:14:29,0,"there was a hickup in the recording so the calibration was lost                                                                                                                                                                                                "
4,9/1/2014 5:22:29,400,8/31/2014 22:22:29,10/20/2015 18:14:46,0,"going to continue with processing                                                                                                                                                                                                                              "
7,9/1/2014 5:23:16,800,8/31/2014 22:23:16,10/20/2015 18:27:12,0,"gps has now crapped out                                                                                                                                                                                                                                        "
8,9/1/2014 5:23:40,500,8/31/2014 22:23:40,10/20/2015 18:33:25,0,"gps is still out but it should be ok                                                                                                                                                                                                                           "
9,9/1/2014 5:52:52,99,8/31/2014 22:52:52,10/20/2015 20:13:59,0,"fm pulse                                                                                                                                                                                                                                                       "
10,9/1/2014 6:03:08,400,8/31/2014 23:03:08,10/20/2015 20:32:34,0,"signal is getting weak                                                                                                                                                                                                                                         "
11,9/1/2014 6:05:48,400,8/31/2014 23:05:48,10/20/2015 20:35:14,2,"END EFFORT                                                                                                                                                                                                                                                     "
12,9/1/2014 6:06:05,700,8/31/2014 23:06:05,10/20/2015 20:35:31,0,"signal is gone on both channels                                                                                                                                                                                                                                "
