"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/25/2014 3:26:37,200,8/24/2014 20:26:37,10/14/2015 17:32:17,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/25/2014 3:44:37,400,8/24/2014 20:44:37,10/14/2015 18:05:32,0,"fm sweep                                                                                                                                                                                                                                                       "
3,8/25/2014 3:47:27,600,8/24/2014 20:47:27,10/14/2015 18:08:23,0,"fm sweeps                                                                                                                                                                                                                                                      "
4,8/25/2014 3:56:50,200,8/24/2014 20:56:50,10/14/2015 18:24:13,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,8/25/2014 3:59:48,300,8/24/2014 20:59:48,10/14/2015 18:33:33,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,8/25/2014 4:00:47,0,8/24/2014 21:00:47,10/14/2015 18:38:08,0,"Interesting fm sweeps that come in sets of 2 less than a second apart                                                                                                                                                                                          "
7,8/25/2014 4:00:54,0,8/24/2014 21:00:54,10/14/2015 18:39:04,0,"something else flat around 48 Hz that is less than 10 seconds is present. Maybe Bryde's???                                                                                                                                                                     "
8,8/25/2014 4:02:14,400,8/24/2014 21:02:14,10/14/2015 18:57:47,0,"40Hz fm call                                                                                                                                                                                                                                                   "
9,8/25/2014 4:03:58,300,8/24/2014 21:03:58,10/14/2015 19:21:40,0,"multiple fin whales with a little variation in the classic call                                                                                                                                                                                                "
10,8/25/2014 4:03:59,100,8/24/2014 21:03:59,10/14/2015 19:21:55,0,"40 Hz call present                                                                                                                                                                                                                                             "
11,8/25/2014 4:06:18,500,8/24/2014 21:06:18,10/14/2015 19:58:54,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
12,8/25/2014 4:28:24,700,8/24/2014 21:28:24,10/14/2015 21:34:48,0,"signal on ch1 is starting to fade                                                                                                                                                                                                                              "
13,8/25/2014 4:29:05,200,8/24/2014 21:29:05,10/14/2015 21:35:28,2,"END EFFORT                                                                                                                                                                                                                                                     "
14,8/25/2014 4:29:18,0,8/24/2014 21:29:18,10/14/2015 21:35:41,0,"Ch 0 is gone                                                                                                                                                                                                                                                   "
