"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/26/2014 3:16:41,599,9/25/2014 20:16:41,11/16/2015 17:57:54,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/26/2014 3:18:23,800,9/25/2014 20:18:23,11/16/2015 17:59:26,0,"fm sweeps                                                                                                                                                                                                                                                      "
3,9/26/2014 3:27:48,100,9/25/2014 20:27:48,11/16/2015 18:34:37,0,"fm sweeps                                                                                                                                                                                                                                                      "
4,9/26/2014 3:28:54,900,9/25/2014 20:28:54,11/16/2015 18:37:42,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,9/26/2014 3:32:36,100,9/25/2014 20:32:36,11/16/2015 18:47:07,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,9/26/2014 3:40:42,900,9/25/2014 20:40:42,11/16/2015 19:22:01,0,"there have been constant fm sweeps. too many to type them all in                                                                                                                                                                                               "
7,9/26/2014 3:47:09,100,9/25/2014 20:47:09,11/16/2015 19:41:56,0,"still more fm sweeps                                                                                                                                                                                                                                           "
8,9/26/2014 4:38:14,900,9/25/2014 21:38:14,11/16/2015 21:44:05,0,"still constant fm swee[s                                                                                                                                                                                                                                       "
9,9/26/2014 4:47:34,900,9/25/2014 21:47:34,11/16/2015 22:13:13,0,"lots of the 20-30 Hz possible fin whale calls                                                                                                                                                                                                                  "
10,9/26/2014 5:16:47,600,9/25/2014 22:16:47,11/16/2015 23:39:43,2,"END EFFORT                                                                                                                                                                                                                                                     "
