"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,12/2/2014 0:59:37,400,12/1/2014 16:59:37,2/18/2016 18:37:52,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,12/2/2014 1:00:36,900,12/1/2014 17:00:36,2/18/2016 18:39:29,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
3,12/2/2014 1:00:46,300,12/1/2014 17:00:46,2/18/2016 18:39:39,0,"very faint                                                                                                                                                                                                                                                     "
4,12/2/2014 1:29:49,200,12/1/2014 17:29:49,2/18/2016 18:59:00,0,"fm sweeps                                                                                                                                                                                                                                                      "
5,12/2/2014 1:36:44,400,12/1/2014 17:36:44,2/18/2016 19:02:28,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,12/2/2014 1:37:09,100,12/1/2014 17:37:09,2/18/2016 19:02:40,0,"around 90 hz                                                                                                                                                                                                                                                   "
7,12/2/2014 1:38:26,199,12/1/2014 17:38:26,2/18/2016 19:03:19,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
8,12/2/2014 2:13:16,400,12/1/2014 18:13:16,2/18/2016 19:26:46,0,"ch 0 is getting faint                                                                                                                                                                                                                                          "
12,12/2/2014 2:20:04,800,12/1/2014 18:20:04,2/18/2016 19:29:27,0,"signal has gotten better on ch0                                                                                                                                                                                                                                "
13,12/2/2014 2:27:12,899,12/1/2014 18:27:12,2/18/2016 19:33:01,0,"fm sweeps                                                                                                                                                                                                                                                      "
14,12/2/2014 2:33:49,600,12/1/2014 18:33:49,2/18/2016 19:36:19,0,"fm sweeps                                                                                                                                                                                                                                                      "
15,12/2/2014 2:59:59,800,12/1/2014 18:59:59,2/18/2016 19:49:24,2,"END EFFORT                                                                                                                                                                                                                                                     "
