"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/8/2014 3:39:34,783,9/7/2014 20:39:34,10/27/2015 18:49:46,1,1.22,15.54,23.64,6.52,
2,9/8/2014 3:39:39,391,9/7/2014 20:39:39,10/27/2015 18:49:54,2,1.15,14.18,22.97,17.21,
3,9/8/2014 3:39:38,624,9/7/2014 20:39:38,10/27/2015 18:50:28,1,0.94,14.86,22.97,8.07,
4,9/8/2014 3:39:43,787,9/7/2014 20:39:43,10/27/2015 18:50:34,2,1.30,15.54,23.64,6.42,
5,9/8/2014 3:40:33,531,9/7/2014 20:40:33,10/27/2015 18:52:38,1,1.30,14.86,23.64,15.06,
6,9/8/2014 3:40:38,355,9/7/2014 20:40:38,10/27/2015 18:52:42,2,1.37,14.86,22.97,13.11,
7,9/8/2014 3:40:49,913,9/7/2014 20:40:49,10/27/2015 18:53:11,1,1.37,14.86,22.29,14.44,
8,9/8/2014 3:40:54,904,9/7/2014 20:40:54,10/27/2015 18:53:16,2,1.44,15.54,23.64,9.45,
9,9/8/2014 3:41:05,458,9/7/2014 20:41:05,10/27/2015 18:54:13,1,1.08,14.18,23.64,7.23,
10,9/8/2014 3:41:20,610,9/7/2014 20:41:20,10/27/2015 18:54:31,1,1.15,14.86,24.32,5.16,
11,9/8/2014 3:42:37,260,9/7/2014 20:42:37,10/27/2015 18:59:36,1,1.08,14.18,22.97,3.31,
12,9/8/2014 3:44:53,12,9/7/2014 20:44:53,10/27/2015 19:03:31,1,1.08,14.18,23.64,-11.95,
13,9/8/2014 3:53:07,943,9/7/2014 20:53:07,10/27/2015 19:11:45,2,1.08,13.51,25.00,6.99,
14,9/8/2014 3:53:31,856,9/7/2014 20:53:31,10/27/2015 19:12:05,2,1.01,14.18,25.00,4.93,
15,9/8/2014 3:53:55,899,9/7/2014 20:53:55,10/27/2015 19:12:35,2,1.15,15.54,24.32,1.31,
16,9/8/2014 3:53:59,938,9/7/2014 20:53:59,10/27/2015 19:13:09,1,1.22,14.86,24.32,6.17,
17,9/8/2014 3:53:59,893,9/7/2014 20:53:59,10/27/2015 19:13:14,2,1.01,14.18,24.32,11.86,
18,9/8/2014 3:54:13,64,9/7/2014 20:54:13,10/27/2015 19:13:44,1,1.15,14.18,23.64,-0.23,
19,9/8/2014 3:54:12,764,9/7/2014 20:54:12,10/27/2015 19:13:48,2,1.30,14.18,22.29,4.12,
20,9/8/2014 3:54:47,598,9/7/2014 20:54:47,10/27/2015 19:14:32,1,1.08,14.18,21.62,6.22,
21,9/8/2014 3:54:47,81,9/7/2014 20:54:47,10/27/2015 19:14:36,2,1.44,14.18,22.29,9.28,
22,9/8/2014 3:57:19,112,9/7/2014 20:57:19,10/27/2015 19:17:19,2,1.01,14.18,25.67,6.90,
23,9/8/2014 3:57:40,224,9/7/2014 20:57:40,10/27/2015 19:17:57,1,1.08,16.89,26.35,8.62,
24,9/8/2014 3:57:39,18,9/7/2014 20:57:39,10/27/2015 19:18:00,2,1.15,17.56,29.72,5.05,
25,9/8/2014 3:58:11,826,9/7/2014 20:58:11,10/27/2015 19:18:26,2,1.08,15.54,23.64,9.82,
26,9/8/2014 3:59:31,269,9/7/2014 20:59:31,10/27/2015 19:20:28,1,1.08,14.18,23.64,9.40,
27,9/8/2014 3:59:30,257,9/7/2014 20:59:30,10/27/2015 19:20:31,2,1.01,15.54,23.64,-2.70,
28,9/8/2014 4:00:01,521,9/7/2014 21:00:01,10/27/2015 19:20:52,1,1.01,14.18,23.64,10.61,
29,9/8/2014 4:00:00,475,9/7/2014 21:00:00,10/27/2015 19:20:55,2,1.01,14.86,23.64,-3.68,
30,9/8/2014 4:02:11,129,9/7/2014 21:02:11,10/27/2015 19:23:38,1,0.86,15.54,25.00,8.77,
31,9/8/2014 4:02:10,484,9/7/2014 21:02:10,10/27/2015 19:23:41,2,0.94,14.18,25.00,9.27,
32,9/8/2014 4:02:31,478,9/7/2014 21:02:31,10/27/2015 19:24:07,1,0.94,15.54,24.32,0.90,
33,9/8/2014 4:02:30,832,9/7/2014 21:02:30,10/27/2015 19:24:10,2,1.08,14.86,24.32,8.01,
34,9/8/2014 4:03:08,812,9/7/2014 21:03:08,10/27/2015 19:25:25,1,1.08,13.51,20.94,6.58,
35,9/8/2014 4:03:08,256,9/7/2014 21:03:08,10/27/2015 19:25:28,2,1.01,14.18,24.32,7.32,
