"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/27/2014 2:44:47,130,9/26/2014 19:44:47,11/17/2015 18:43:18,1,1.22,14.90,21.71,4.69,
2,9/27/2014 2:57:51,763,9/26/2014 19:57:51,11/17/2015 19:29:26,1,2.60,22.45,36.80,10.76,"noise                                             "
3,9/27/2014 2:58:00,343,9/26/2014 19:58:00,11/17/2015 19:29:34,1,4.99,19.50,35.52,14.71,"noise                                             "
4,9/27/2014 2:57:20,776,9/26/2014 19:57:20,11/17/2015 19:30:13,2,5.06,80.13,89.34,1.55,
5,9/27/2014 2:57:34,9,9/26/2014 19:57:34,11/17/2015 19:30:44,1,16.63,41.02,49.46,-1.95,
6,9/27/2014 2:57:33,569,9/26/2014 19:57:33,11/17/2015 19:30:49,2,17.72,41.02,50.61,-5.38,
7,9/27/2014 2:58:06,260,9/26/2014 19:58:06,11/17/2015 19:31:24,1,21.69,39.49,49.84,-4.76,
8,9/27/2014 2:58:05,910,9/26/2014 19:58:05,11/17/2015 19:31:29,2,20.54,39.87,50.23,-1.38,
9,9/27/2014 2:58:35,512,9/26/2014 19:58:35,11/17/2015 19:31:55,1,22.06,39.11,49.84,2.39,
10,9/27/2014 2:58:36,141,9/26/2014 19:58:36,11/17/2015 19:31:59,2,21.62,41.41,51.76,2.56,
11,9/27/2014 2:59:02,132,9/26/2014 19:59:02,11/17/2015 19:32:46,1,5.35,69.78,80.13,-0.47,
12,9/27/2014 2:59:00,241,9/26/2014 19:59:00,11/17/2015 19:32:50,2,5.78,70.16,78.98,5.49,
13,9/27/2014 2:58:12,168,9/26/2014 19:58:12,11/17/2015 19:33:38,1,1.30,13.80,21.53,6.24,
14,9/27/2014 2:58:12,647,9/26/2014 19:58:12,11/17/2015 19:33:41,2,2.09,14.35,21.90,-0.12,
15,9/27/2014 2:58:59,136,9/26/2014 19:58:59,11/17/2015 19:34:46,1,29.65,38.92,49.77,3.20,
16,9/27/2014 2:59:00,956,9/26/2014 19:59:00,11/17/2015 19:34:51,2,24.08,40.04,49.02,5.60,
17,9/27/2014 2:59:29,929,9/26/2014 19:59:29,11/17/2015 19:41:23,1,18.01,38.54,50.89,0.43,
18,9/27/2014 2:59:31,36,9/26/2014 19:59:31,11/17/2015 19:41:27,2,15.98,39.66,49.02,0.75,
19,9/27/2014 3:00:06,466,9/26/2014 20:00:06,11/17/2015 19:42:53,1,24.37,40.26,49.46,-1.27,
20,9/27/2014 3:00:08,270,9/26/2014 20:00:08,11/17/2015 19:43:01,2,25.53,41.02,50.99,1.80,
21,9/27/2014 3:00:59,348,9/26/2014 20:00:59,11/17/2015 19:44:07,1,1.44,15.09,23.37,5.55,
22,9/27/2014 3:00:58,347,9/26/2014 20:00:58,11/17/2015 19:44:10,2,1.44,15.09,22.45,9.50,
23,9/27/2014 3:01:12,389,9/26/2014 20:01:12,11/17/2015 19:45:27,1,20.47,42.94,51.38,7.21,
24,9/27/2014 3:01:12,929,9/26/2014 20:01:12,11/17/2015 19:45:31,2,20.39,40.26,50.61,1.63,
25,9/27/2014 3:01:34,853,9/26/2014 20:01:34,11/17/2015 19:46:12,1,1.59,15.27,22.82,14.36,
26,9/27/2014 3:01:33,924,9/26/2014 20:01:33,11/17/2015 19:46:15,2,1.59,15.27,22.82,11.36,
27,9/27/2014 3:01:38,375,9/26/2014 20:01:38,11/17/2015 19:47:24,1,20.83,39.87,49.84,-0.51,
28,9/27/2014 3:01:38,259,9/26/2014 20:01:38,11/17/2015 19:47:30,2,22.78,41.79,49.07,5.04,
29,9/27/2014 3:02:09,7,9/26/2014 20:02:09,11/17/2015 19:47:42,1,1.22,15.46,22.82,11.77,
30,9/27/2014 3:02:07,745,9/26/2014 20:02:07,11/17/2015 19:47:46,2,1.66,14.90,22.82,10.12,
31,9/27/2014 3:02:17,81,9/26/2014 20:02:17,11/17/2015 19:49:21,1,26.47,43.32,50.23,0.35,
32,9/27/2014 3:02:16,430,9/26/2014 20:02:16,11/17/2015 19:49:26,2,31.89,40.64,50.99,3.91,
33,9/27/2014 3:02:57,962,9/26/2014 20:02:57,11/17/2015 19:50:02,1,0.94,16.19,23.55,6.72,
34,9/27/2014 3:02:56,833,9/26/2014 20:02:56,11/17/2015 19:50:06,2,1.37,14.90,22.82,9.30,
35,9/27/2014 3:03:06,558,9/26/2014 20:03:06,11/17/2015 19:52:53,1,26.90,39.11,48.69,4.40,
36,9/27/2014 3:03:08,439,9/26/2014 20:03:08,11/17/2015 19:52:59,2,26.47,39.87,49.84,6.76,
