"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,11/12/2014 3:10:41,953,11/11/2014 19:10:41,2/2/2016 18:17:46,1,9.69,77.20,86.39,2.52,
2,11/12/2014 3:10:41,364,11/11/2014 19:10:41,2/2/2016 18:17:49,2,7.37,78.30,87.50,5.78,
3,11/12/2014 3:11:19,126,11/11/2014 19:11:19,2/2/2016 18:18:48,1,9.54,40.44,50.73,5.74,
4,11/12/2014 3:11:20,518,11/11/2014 19:11:20,2/2/2016 18:18:55,2,7.08,42.64,51.83,0.42,
5,11/12/2014 3:11:34,72,11/11/2014 19:11:34,2/2/2016 18:19:46,1,4.91,39.33,47.42,6.66,
6,11/12/2014 3:11:34,86,11/11/2014 19:11:34,2/2/2016 18:20:12,1,5.13,38.97,47.05,6.93,
7,11/12/2014 3:11:33,184,11/11/2014 19:11:33,2/2/2016 18:20:16,2,20.10,38.60,51.10,-1.61,
8,11/12/2014 3:12:12,278,11/11/2014 19:12:12,2/2/2016 18:20:40,1,8.96,39.70,48.89,4.58,
9,11/12/2014 3:12:12,678,11/11/2014 19:12:12,2/2/2016 18:20:43,2,8.75,42.27,48.89,4.41,
10,11/12/2014 3:12:26,460,11/11/2014 19:12:26,2/2/2016 18:20:47,1,6.14,39.33,46.69,9.46,
11,11/12/2014 3:12:27,367,11/11/2014 19:12:27,2/2/2016 18:20:50,2,8.89,41.17,50.00,3.44,
12,11/12/2014 3:12:46,609,11/11/2014 19:12:46,2/2/2016 18:21:42,1,7.59,40.80,50.73,4.62,
13,11/12/2014 3:12:48,979,11/11/2014 19:12:48,2/2/2016 18:21:45,2,7.52,40.07,49.26,-0.76,
14,11/12/2014 3:11:47,341,11/11/2014 19:11:47,2/2/2016 18:22:22,1,1.01,13.94,21.52,6.62,
15,11/12/2014 3:11:47,380,11/11/2014 19:11:47,2/2/2016 18:22:25,2,1.37,15.35,24.00,7.32,
16,11/12/2014 3:12:23,424,11/11/2014 19:12:23,2/2/2016 18:22:31,1,1.01,18.00,23.29,3.29,
17,11/12/2014 3:12:23,318,11/11/2014 19:12:23,2/2/2016 18:22:35,2,1.37,15.88,24.17,6.74,
18,11/12/2014 3:13:05,595,11/11/2014 19:13:05,2/2/2016 18:24:04,1,1.15,15.44,23.16,5.30,
19,11/12/2014 3:13:05,768,11/11/2014 19:13:05,2/2/2016 18:24:06,2,1.15,16.54,26.83,2.99,
20,11/12/2014 3:13:04,912,11/11/2014 19:13:04,2/2/2016 18:24:31,1,7.88,40.80,49.26,1.37,
21,11/12/2014 3:13:06,370,11/11/2014 19:13:06,2/2/2016 18:24:35,2,5.71,40.07,50.36,2.01,
22,11/12/2014 3:13:18,659,11/11/2014 19:13:18,2/2/2016 18:25:06,1,4.99,39.33,47.79,7.66,
23,11/12/2014 3:13:18,598,11/11/2014 19:13:18,2/2/2016 18:25:08,2,9.33,40.80,50.36,5.79,
24,11/12/2014 3:13:45,838,11/11/2014 19:13:45,2/2/2016 18:25:37,1,1.30,15.07,23.89,9.56,
25,11/12/2014 3:13:45,871,11/11/2014 19:13:45,2/2/2016 18:25:39,2,1.30,15.80,24.63,4.95,
26,11/12/2014 3:14:14,268,11/11/2014 19:14:14,2/2/2016 18:26:46,1,13.45,77.20,89.70,4.28,
27,11/12/2014 3:14:16,820,11/11/2014 19:14:16,2/2/2016 18:27:07,1,16.85,41.17,50.73,0.11,
28,11/12/2014 3:14:15,608,11/11/2014 19:14:15,2/2/2016 18:27:10,2,19.45,38.97,51.47,3.90,
29,11/12/2014 3:14:22,617,11/11/2014 19:14:22,2/2/2016 18:27:46,1,1.44,15.00,23.29,3.99,
30,11/12/2014 3:14:23,23,11/11/2014 19:14:23,2/2/2016 18:27:49,2,1.59,15.35,24.00,6.46,
31,11/12/2014 3:15:00,481,11/11/2014 19:15:00,2/2/2016 18:27:58,1,1.44,15.17,22.58,6.86,
32,11/12/2014 3:15:07,871,11/11/2014 19:15:07,2/2/2016 18:28:27,1,1.51,15.00,22.05,7.62,
33,11/12/2014 3:15:07,877,11/11/2014 19:15:07,2/2/2016 18:28:31,2,1.30,16.58,25.41,0.60,
