06/07/2016 14:45:47,0-2571525,UNLIMITED-TRACK,32.92728,-117.66637,"",""
06/07/2016 14:45:34,0-2571518,UNLIMITED-TRACK,32.92656,-117.66597,"",""
06/07/2016 14:44:26,0-2571709,UNLIMITED-TRACK,32.92408,-117.66454,"",""
06/07/2016 14:44:00,0-2571609,UNLIMITED-TRACK,32.92106,-117.66286,"",""
06/07/2016 14:40:47,0-2571525,UNLIMITED-TRACK,32.91565,-117.65976,"",""
06/07/2016 14:40:27,0-2571518,UNLIMITED-TRACK,32.91487,-117.65918,"",""
06/07/2016 14:39:28,0-2571709,UNLIMITED-TRACK,32.91256,-117.65796,"",""
06/07/2016 14:38:09,0-2571609,UNLIMITED-TRACK,32.90956,-117.65637,"",""
06/07/2016 14:35:47,0-2571525,UNLIMITED-TRACK,32.90415,-117.65332,"",""
06/07/2016 14:34:26,0-2571709,UNLIMITED-TRACK,32.90108,-117.65141,"",""
06/07/2016 14:33:09,0-2571609,UNLIMITED-TRACK,32.89819,-117.65002,"",""
06/07/2016 14:28:16,0-2571609,UNLIMITED-TRACK,32.88681,-117.64345,"",""
06/07/2016 14:25:41,0-2571525,UNLIMITED-TRACK,32.88079,-117.64012,"",""
06/07/2016 14:23:16,0-2571609,UNLIMITED-TRACK,32.87544,-117.63684,"",""
06/07/2016 14:21:36,0-2571709,UNLIMITED-TRACK,32.87151,-117.63490,"",""
06/07/2016 14:20:40,0-2571525,STOP,32.86956,-117.63351,"",""
06/07/2016 14:18:16,0-2571609,UNLIMITED-TRACK,32.86398,-117.63066,"",""
06/07/2016 14:15:40,0-2571525,STOP,32.85806,-117.62707,"",""
06/07/2016 14:14:29,0-2571709,UNLIMITED-TRACK,32.85530,-117.62558,"",""
06/07/2016 14:13:20,0-2571609,UNLIMITED-TRACK,32.85268,-117.62405,"",""
06/07/2016 14:10:40,0-2571525,UNLIMITED-TRACK,32.84653,-117.62067,"",""
06/07/2016 14:10:26,0-2571518,UNLIMITED-TRACK,32.84600,-117.62041,"",""
06/07/2016 14:09:29,0-2571709,UNLIMITED-TRACK,32.84384,-117.61923,"",""
06/07/2016 14:08:21,0-2571609,UNLIMITED-TRACK,32.84131,-117.61746,"",""
06/07/2016 14:05:37,0-2571525,UNLIMITED-TRACK,32.83510,-117.61398,"",""
06/07/2016 14:05:17,0-2571518,UNLIMITED-TRACK,32.83416,-117.61360,"",""
06/07/2016 14:04:55,0-2571709,UNLIMITED-TRACK,32.83339,-117.61310,"",""
06/07/2016 14:03:23,0-2571609,UNLIMITED-TRACK,32.82992,-117.61107,"",""
06/07/2016 14:02:43,0-2571525,UNLIMITED-TRACK,32.82834,-117.61032,"",""
06/07/2016 14:02:41,0-2571518,UNLIMITED-TRACK,32.82835,-117.61028,"",""
