"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/17/2014 3:54:06,858,9/16/2014 20:54:06,11/9/2015 18:48:09,1,25.24,40.68,48.22,7.19,
2,9/17/2014 3:54:22,165,9/16/2014 20:54:22,11/9/2015 18:48:13,2,4.26,41.99,47.24,2.87,
3,9/17/2014 3:55:02,890,9/16/2014 20:55:02,11/9/2015 18:49:36,1,33.63,39.06,49.95,5.24,
4,9/17/2014 3:55:01,438,9/16/2014 20:55:01,11/9/2015 18:49:53,2,30.74,40.34,49.63,5.65,
5,9/17/2014 3:56:03,548,9/16/2014 20:56:03,11/9/2015 18:53:47,1,18.08,40.35,49.21,4.91,
6,9/17/2014 3:56:06,274,9/16/2014 20:56:06,11/9/2015 18:53:51,2,14.53,40.35,49.21,3.19,
7,9/17/2014 3:57:03,489,9/16/2014 20:57:03,11/9/2015 18:55:41,1,12.15,78.41,88.25,7.87,
8,9/17/2014 3:57:25,935,9/16/2014 20:57:25,11/9/2015 18:57:31,1,14.53,40.35,50.52,8.77,
9,9/17/2014 3:57:24,767,9/16/2014 20:57:24,11/9/2015 18:57:34,2,11.57,41.01,50.19,5.36,
10,9/17/2014 3:57:52,202,9/16/2014 20:57:52,11/9/2015 18:59:11,1,11.35,41.66,50.19,3.50,
11,9/17/2014 3:57:53,788,9/16/2014 20:57:53,11/9/2015 18:59:14,2,5.49,43.63,51.50,8.40,
12,9/17/2014 3:58:20,314,9/16/2014 20:58:20,11/9/2015 19:00:02,1,32.69,40.35,49.86,4.59,
13,9/17/2014 3:58:20,782,9/16/2014 20:58:20,11/9/2015 19:00:07,2,29.58,42.97,49.21,1.17,
14,9/17/2014 3:59:13,636,9/16/2014 20:59:13,11/9/2015 19:01:05,1,27.63,39.04,50.19,6.79,
15,9/17/2014 3:59:12,367,9/16/2014 20:59:12,11/9/2015 19:01:10,2,26.03,40.02,48.22,9.98,
16,9/17/2014 3:59:57,410,9/16/2014 20:59:57,11/9/2015 19:02:19,1,22.64,40.68,49.21,2.82,
17,9/17/2014 3:59:53,283,9/16/2014 20:59:53,11/9/2015 19:02:22,2,26.32,41.01,49.86,5.91,
18,9/17/2014 4:00:45,41,9/16/2014 21:00:45,11/9/2015 19:03:54,1,1.15,20.15,25.66,2.35,
19,9/17/2014 4:00:43,377,9/16/2014 21:00:43,11/9/2015 19:03:56,2,1.30,20.00,27.24,5.23,
20,9/17/2014 4:01:02,101,9/16/2014 21:01:02,11/9/2015 19:03:59,1,1.37,20.15,26.77,6.21,
21,9/17/2014 4:01:00,771,9/16/2014 21:01:00,11/9/2015 19:04:01,2,1.44,20.15,25.51,11.58,
22,9/17/2014 4:01:21,388,9/16/2014 21:01:21,11/9/2015 19:05:17,1,1.66,20.15,26.61,5.82,
23,9/17/2014 4:01:19,747,9/16/2014 21:01:19,11/9/2015 19:05:19,2,1.37,19.52,26.61,9.18,
24,9/17/2014 4:01:21,58,9/16/2014 21:01:21,11/9/2015 19:07:09,1,12.65,80.70,88.25,3.58,
25,9/17/2014 4:01:26,258,9/16/2014 21:01:26,11/9/2015 19:07:42,1,14.75,39.04,50.52,5.56,
26,9/17/2014 4:01:24,934,9/16/2014 21:01:24,11/9/2015 19:07:48,2,11.13,39.69,49.86,6.69,
27,9/17/2014 4:01:38,267,9/16/2014 21:01:38,11/9/2015 19:08:13,1,1.30,20.66,27.55,7.90,
28,9/17/2014 4:01:36,720,9/16/2014 21:01:36,11/9/2015 19:08:16,2,1.30,19.68,28.54,9.13,
29,9/17/2014 4:01:56,452,9/16/2014 21:01:56,11/9/2015 19:08:44,1,1.59,20.99,28.87,4.29,
30,9/17/2014 4:01:54,944,9/16/2014 21:01:54,11/9/2015 19:08:46,2,1.51,19.68,28.54,10.38,
31,9/17/2014 4:03:28,684,9/16/2014 21:03:28,11/9/2015 19:11:22,1,10.41,41.99,49.54,6.69,
32,9/17/2014 4:03:26,393,9/16/2014 21:03:26,11/9/2015 19:11:27,2,10.92,41.33,49.86,6.71,
33,9/17/2014 4:03:55,413,9/16/2014 21:03:55,11/9/2015 19:12:14,2,1.22,19.21,25.98,6.33,
