"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
50,9/30/2014 3:03:56,579,9/29/2014 20:03:56,11/23/2015 19:54:22,2,14.82,42.32,48.61,1.92,
51,9/30/2014 3:04:46,722,9/29/2014 20:04:46,11/23/2015 19:56:02,1,19.96,42.32,50.26,2.18,
52,9/30/2014 3:04:48,725,9/29/2014 20:04:48,11/23/2015 19:56:07,2,9.40,41.66,48.61,3.15,
53,9/30/2014 3:05:53,518,9/29/2014 20:05:53,11/23/2015 19:57:42,1,15.18,41.33,49.60,2.00,
54,9/30/2014 3:05:53,613,9/29/2014 20:05:53,11/23/2015 19:57:46,2,16.41,42.65,48.94,1.57,
55,9/30/2014 3:06:47,445,9/29/2014 20:06:47,11/23/2015 19:59:12,1,14.75,41.33,50.59,6.01,
56,9/30/2014 3:06:52,47,9/29/2014 20:06:52,11/23/2015 19:59:16,2,6.58,41.66,48.94,-0.16,
57,9/30/2014 3:07:55,871,9/29/2014 20:07:55,11/23/2015 20:00:27,1,15.62,41.99,47.61,2.41,
58,9/30/2014 3:08:03,149,9/29/2014 20:08:03,11/23/2015 20:00:31,2,17.72,40.67,48.61,2.50,
59,9/30/2014 3:09:02,468,9/29/2014 20:09:02,11/23/2015 20:01:25,1,19.02,41.00,49.27,3.27,
60,9/30/2014 3:09:06,41,9/29/2014 20:09:06,11/23/2015 20:01:29,2,16.49,41.00,47.94,6.68,
61,9/30/2014 3:09:49,183,9/29/2014 20:09:49,11/23/2015 20:02:42,1,27.84,41.33,50.92,0.11,
62,9/30/2014 3:09:52,5,9/29/2014 20:09:52,11/23/2015 20:02:46,2,27.12,41.66,48.94,4.30,
63,9/30/2014 3:10:34,575,9/29/2014 20:10:34,11/23/2015 20:03:07,1,27.48,42.65,49.60,4.71,
64,9/30/2014 3:10:37,196,9/29/2014 20:10:37,11/23/2015 20:03:12,2,20.47,41.99,48.94,4.12,
65,9/30/2014 3:11:24,26,9/29/2014 20:11:24,11/23/2015 20:03:51,1,12.36,41.66,50.26,4.42,
66,9/30/2014 3:11:20,705,9/29/2014 20:11:20,11/23/2015 20:03:55,2,16.49,41.66,48.28,1.82,
67,9/30/2014 3:12:21,639,9/29/2014 20:12:21,11/23/2015 20:18:06,1,14.68,41.33,49.27,-0.31,
68,9/30/2014 3:12:19,380,9/29/2014 20:12:19,11/23/2015 20:18:09,2,13.59,41.00,48.28,1.12,
69,9/30/2014 3:12:49,42,9/29/2014 20:12:49,11/23/2015 20:18:13,1,27.12,42.65,49.27,2.67,
70,9/30/2014 3:12:50,656,9/29/2014 20:12:50,11/23/2015 20:18:19,2,28.20,42.32,46.95,1.07,
71,9/30/2014 3:13:59,601,9/29/2014 20:13:59,11/23/2015 20:41:13,1,16.63,40.34,47.94,6.08,
72,9/30/2014 3:13:59,969,9/29/2014 20:13:59,11/23/2015 20:41:18,2,14.61,41.99,49.93,4.41,
73,9/30/2014 3:14:30,877,9/29/2014 20:14:30,11/23/2015 20:41:23,1,12.22,41.33,49.93,5.23,
74,9/30/2014 3:14:26,142,9/29/2014 20:14:26,11/23/2015 20:41:26,2,15.91,41.66,50.92,0.04,
75,9/30/2014 3:14:56,149,9/29/2014 20:14:56,11/23/2015 20:45:11,1,11.35,41.66,49.60,5.93,
76,9/30/2014 3:14:56,530,9/29/2014 20:14:56,11/23/2015 20:45:26,1,25.75,42.98,49.27,5.04,
77,9/30/2014 3:15:03,503,9/29/2014 20:15:03,11/23/2015 20:45:29,2,20.97,42.65,48.94,2.25,
78,9/30/2014 3:15:52,370,9/29/2014 20:15:52,11/23/2015 20:46:16,1,25.89,43.32,48.28,4.43,
79,9/30/2014 3:15:52,266,9/29/2014 20:15:52,11/23/2015 20:46:20,2,22.71,41.66,47.61,6.22,
80,9/30/2014 3:16:22,673,9/29/2014 20:16:22,11/23/2015 20:47:11,1,16.99,41.99,48.94,1.16,
81,9/30/2014 3:16:22,384,9/29/2014 20:16:22,11/23/2015 20:47:14,2,15.62,42.32,48.28,2.87,
82,9/30/2014 3:16:49,599,9/29/2014 20:16:49,11/23/2015 20:47:17,1,19.09,42.32,48.61,6.18,
83,9/30/2014 3:16:50,201,9/29/2014 20:16:50,11/23/2015 20:47:20,2,26.98,42.65,48.94,0.85,
84,9/30/2014 3:17:50,120,9/29/2014 20:17:50,11/23/2015 20:51:56,1,23.58,41.99,47.94,3.81,
85,9/30/2014 3:17:55,940,9/29/2014 20:17:55,11/23/2015 20:52:07,2,15.04,41.00,48.94,1.57,
86,9/30/2014 3:18:26,699,9/29/2014 20:18:26,11/23/2015 20:52:14,1,26.32,40.67,47.94,3.09,
87,9/30/2014 3:18:21,107,9/29/2014 20:18:21,11/23/2015 20:52:17,2,31.75,41.66,47.94,2.68,
88,9/30/2014 3:19:02,348,9/29/2014 20:19:02,11/23/2015 20:55:57,1,30.37,40.67,47.94,3.91,
89,9/30/2014 3:19:02,399,9/29/2014 20:19:02,11/23/2015 20:56:00,2,14.17,41.66,49.93,3.67,
90,9/30/2014 3:19:48,343,9/29/2014 20:19:48,11/23/2015 20:58:00,1,27.12,42.32,50.59,3.41,
91,9/30/2014 3:19:50,597,9/29/2014 20:19:50,11/23/2015 20:58:05,2,24.23,41.00,50.59,5.46,
92,9/30/2014 3:20:42,992,9/29/2014 20:20:42,11/23/2015 20:59:14,1,24.66,41.33,50.59,4.91,
93,9/30/2014 3:20:39,177,9/29/2014 20:20:39,11/23/2015 20:59:21,2,23.65,41.00,49.93,6.78,
94,9/30/2014 3:21:39,965,9/29/2014 20:21:39,11/23/2015 20:59:57,1,0.94,48.61,61.17,-0.75,"noise                                             "
95,9/30/2014 3:21:49,91,9/29/2014 20:21:49,11/23/2015 21:00:48,1,16.56,40.01,48.61,4.28,
96,9/30/2014 3:21:45,676,9/29/2014 20:21:45,11/23/2015 21:00:52,2,23.36,41.00,49.27,2.73,
97,9/30/2014 3:22:49,323,9/29/2014 20:22:49,11/23/2015 21:01:48,1,11.35,43.32,49.27,3.99,
98,9/30/2014 3:22:45,412,9/29/2014 20:22:45,11/23/2015 21:01:52,2,13.52,41.66,48.94,3.37,
99,9/30/2014 3:23:24,121,9/29/2014 20:23:24,11/23/2015 21:01:56,1,14.82,41.99,47.61,6.85,
100,9/30/2014 3:23:36,463,9/29/2014 20:23:36,11/23/2015 21:02:08,2,6.00,41.66,49.60,0.46,
101,9/30/2014 3:23:45,952,9/29/2014 20:23:45,11/23/2015 21:02:48,1,13.96,41.00,48.61,2.38,
102,9/30/2014 3:23:44,678,9/29/2014 20:23:44,11/23/2015 21:02:51,2,11.50,42.65,49.27,-0.14,
103,9/30/2014 3:24:38,616,9/29/2014 20:24:38,11/23/2015 21:05:36,1,20.18,41.66,48.28,0.70,
