"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/6/2014 2:41:23,233,9/5/2014 19:41:23,10/23/2015 17:43:28,1,1.08,20.27,30.40,4.05,
2,9/6/2014 2:41:25,292,9/5/2014 19:41:25,10/23/2015 17:43:47,1,1.15,20.27,31.08,1.36,
3,9/6/2014 2:42:01,987,9/5/2014 19:42:01,10/23/2015 17:43:51,1,1.08,22.29,33.10,1.81,
4,9/6/2014 2:42:04,213,9/5/2014 19:42:04,10/23/2015 17:43:53,1,1.08,22.29,33.78,0.67,
5,9/6/2014 2:42:38,193,9/5/2014 19:42:38,10/23/2015 17:45:28,1,0.86,22.29,30.40,2.29,
6,9/6/2014 2:42:36,880,9/5/2014 19:42:36,10/23/2015 17:45:32,2,0.94,22.97,31.08,0.87,
7,9/6/2014 2:42:58,384,9/5/2014 19:42:58,10/23/2015 17:46:31,1,0.79,18.91,30.40,-3.92,
8,9/6/2014 2:42:57,188,9/5/2014 19:42:57,10/23/2015 17:46:35,2,0.86,20.27,30.40,-7.19,
9,9/6/2014 2:43:00,778,9/5/2014 19:43:00,10/23/2015 17:46:52,1,0.79,20.94,30.40,0.69,
10,9/6/2014 2:42:59,437,9/5/2014 19:42:59,10/23/2015 17:46:56,2,0.94,21.62,31.75,-0.76,
11,9/6/2014 2:43:08,631,9/5/2014 19:43:08,10/23/2015 17:47:31,1,0.79,20.94,30.40,0.39,
12,9/6/2014 2:43:07,301,9/5/2014 19:43:07,10/23/2015 17:47:35,2,1.01,19.59,27.02,1.46,
13,9/6/2014 2:43:10,40,9/5/2014 19:43:10,10/23/2015 17:47:56,1,1.08,20.27,29.72,-1.44,
14,9/6/2014 2:43:08,894,9/5/2014 19:43:08,10/23/2015 17:48:00,2,1.15,17.56,29.05,1.92,
15,9/6/2014 2:44:16,411,9/5/2014 19:44:16,10/23/2015 17:50:38,1,1.01,17.56,27.02,6.84,
16,9/6/2014 2:44:15,115,9/5/2014 19:44:15,10/23/2015 17:50:42,2,0.94,18.24,29.05,5.79,
17,9/6/2014 2:44:33,277,9/5/2014 19:44:33,10/23/2015 17:51:25,1,0.79,19.59,29.05,1.68,
18,9/6/2014 2:44:31,853,9/5/2014 19:44:31,10/23/2015 17:51:29,2,0.86,20.27,28.37,1.77,
19,9/6/2014 2:44:34,719,9/5/2014 19:44:34,10/23/2015 17:51:47,1,1.22,19.59,27.70,-1.83,
20,9/6/2014 2:44:33,567,9/5/2014 19:44:33,10/23/2015 17:51:50,2,0.79,19.59,31.75,-5.51,
21,9/6/2014 2:51:05,244,9/5/2014 19:51:05,10/23/2015 17:59:27,1,0.94,16.21,25.67,5.73,
22,9/6/2014 2:57:31,521,9/5/2014 19:57:31,10/23/2015 18:06:18,1,0.79,20.27,27.70,-1.39,
23,9/6/2014 2:57:30,297,9/5/2014 19:57:30,10/23/2015 18:06:22,2,1.08,19.59,26.35,1.62,
24,9/6/2014 2:57:33,508,9/5/2014 19:57:33,10/23/2015 18:06:43,1,0.94,19.59,28.37,-2.94,
25,9/6/2014 2:57:32,485,9/5/2014 19:57:32,10/23/2015 18:06:47,2,1.01,20.94,29.72,6.39,
26,9/6/2014 3:03:38,25,9/5/2014 20:03:38,10/23/2015 18:13:50,1,1.22,18.91,30.40,5.66,
27,9/6/2014 3:03:36,951,9/5/2014 20:03:36,10/23/2015 18:13:53,2,1.08,18.24,29.05,8.30,
28,9/6/2014 3:03:40,35,9/5/2014 20:03:40,10/23/2015 18:14:22,1,1.01,21.62,32.43,-5.87,
29,9/6/2014 3:03:38,833,9/5/2014 20:03:38,10/23/2015 18:14:25,2,1.37,19.59,30.40,-5.95,
30,9/6/2014 3:04:23,538,9/5/2014 20:04:23,10/23/2015 18:15:45,1,0.79,22.29,33.10,0.40,
31,9/6/2014 3:04:22,169,9/5/2014 20:04:22,10/23/2015 18:15:48,2,1.08,20.94,35.13,7.76,
32,9/6/2014 3:04:25,57,9/5/2014 20:04:25,10/23/2015 18:16:11,1,1.01,20.27,35.13,4.88,
33,9/6/2014 3:04:23,600,9/5/2014 20:04:23,10/23/2015 18:16:14,2,1.30,24.32,38.51,4.53,
34,9/6/2014 3:04:28,532,9/5/2014 20:04:28,10/23/2015 18:17:42,1,1.22,20.94,29.72,-1.87,
35,9/6/2014 3:04:27,419,9/5/2014 20:04:27,10/23/2015 18:17:45,2,1.01,18.91,30.40,-4.58,
36,9/6/2014 3:04:30,229,9/5/2014 20:04:30,10/23/2015 18:18:05,1,1.37,19.59,32.43,6.81,
37,9/6/2014 3:04:28,772,9/5/2014 20:04:28,10/23/2015 18:18:07,2,1.44,19.59,31.08,9.00,
38,9/6/2014 3:07:05,657,9/5/2014 20:07:05,10/23/2015 18:26:22,1,1.08,20.94,29.72,4.69,
39,9/6/2014 3:07:04,556,9/5/2014 20:07:04,10/23/2015 18:26:27,2,1.01,18.24,27.70,0.87,
40,9/6/2014 3:07:22,914,9/5/2014 20:07:22,10/23/2015 18:27:03,1,1.01,20.94,31.08,0.77,
41,9/6/2014 3:07:21,606,9/5/2014 20:07:21,10/23/2015 18:27:07,2,1.01,18.91,33.10,3.12,
42,9/6/2014 3:07:25,13,9/5/2014 20:07:25,10/23/2015 18:27:28,1,1.01,18.91,29.05,-1.62,
43,9/6/2014 3:07:23,939,9/5/2014 20:07:23,10/23/2015 18:27:32,2,1.15,18.91,31.08,2.64,
44,9/6/2014 3:08:01,978,9/5/2014 20:08:01,10/23/2015 18:28:36,1,0.94,20.27,31.75,7.21,
45,9/6/2014 3:08:00,504,9/5/2014 20:08:00,10/23/2015 18:28:39,2,1.30,21.62,33.10,3.13,
46,9/6/2014 3:08:02,574,9/5/2014 20:08:02,10/23/2015 18:29:00,2,1.01,23.64,33.10,1.37,
47,9/6/2014 3:08:06,403,9/5/2014 20:08:06,10/23/2015 18:29:34,1,1.01,21.62,31.08,3.54,
48,9/6/2014 3:08:04,962,9/5/2014 20:08:04,10/23/2015 18:29:38,2,1.01,22.29,33.78,-0.66,
49,9/6/2014 3:08:09,303,9/5/2014 20:08:09,10/23/2015 18:30:03,1,0.79,22.97,33.10,0.46,
50,9/6/2014 3:08:07,161,9/5/2014 20:08:07,10/23/2015 18:30:09,2,1.15,24.32,33.10,-1.18,
51,9/6/2014 3:08:12,926,9/5/2014 20:08:12,10/23/2015 18:30:34,1,0.94,19.59,29.05,1.53,
52,9/6/2014 3:08:11,412,9/5/2014 20:08:11,10/23/2015 18:30:37,2,1.08,23.64,33.10,4.00,
53,9/6/2014 3:08:16,320,9/5/2014 20:08:16,10/23/2015 18:30:55,1,1.22,21.62,29.72,2.56,
54,9/6/2014 3:08:15,113,9/5/2014 20:08:15,10/23/2015 18:30:59,2,1.01,20.27,29.05,3.35,
55,9/6/2014 3:08:18,608,9/5/2014 20:08:18,10/23/2015 18:31:26,1,0.86,22.29,28.37,1.47,
56,9/6/2014 3:08:17,45,9/5/2014 20:08:17,10/23/2015 18:31:32,2,1.01,22.29,29.05,-3.85,
57,9/6/2014 3:09:02,449,9/5/2014 20:09:02,10/23/2015 18:33:10,1,0.94,19.59,31.08,3.75,
