"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,11/30/2014 1:28:33,562,11/29/2014 17:28:33,2/17/2016 20:20:29,1,1.08,16.53,23.04,-1.04,
2,11/30/2014 1:28:32,989,11/29/2014 17:28:32,2/17/2016 20:20:32,2,0.94,16.18,22.17,2.11,
3,11/30/2014 1:32:53,670,11/29/2014 17:32:53,2/17/2016 20:27:09,1,20.75,40.32,49.85,1.80,
4,11/30/2014 1:33:50,101,11/29/2014 17:33:50,2/17/2016 20:27:24,1,9.40,41.78,48.38,2.96,
5,11/30/2014 1:34:45,644,11/29/2014 17:34:45,2/17/2016 20:28:35,1,7.95,39.95,49.12,4.10,
6,11/30/2014 1:40:04,827,11/29/2014 17:40:04,2/17/2016 20:31:35,1,1.01,15.48,21.29,1.56,
7,11/30/2014 1:40:45,65,11/29/2014 17:40:45,2/17/2016 20:31:57,1,1.30,15.30,20.76,6.34,
8,11/30/2014 1:42:58,780,11/29/2014 17:42:58,2/17/2016 20:33:08,1,0.94,14.29,23.46,8.53,
9,11/30/2014 1:45:17,494,11/29/2014 17:45:17,2/17/2016 20:34:37,1,1.22,15.48,21.99,10.12,
10,11/30/2014 1:45:16,771,11/29/2014 17:45:16,2/17/2016 20:34:40,2,1.30,15.30,22.69,7.68,
11,11/30/2014 1:47:12,662,11/29/2014 17:47:12,2/17/2016 20:35:30,1,0.86,14.66,23.09,0.07,
12,11/30/2014 1:47:12,12,11/29/2014 17:47:12,2/17/2016 20:35:33,2,1.22,14.66,23.46,5.07,
13,11/30/2014 2:05:50,362,11/29/2014 18:05:50,2/17/2016 20:46:04,1,5.35,41.42,47.65,7.48,
14,11/30/2014 2:05:49,206,11/29/2014 18:05:49,2/17/2016 20:46:06,2,6.14,41.78,48.75,3.42,
