"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/19/2014 2:58:00,30,9/18/2014 19:58:00,11/10/2015 17:57:01,1,2.16,17.56,37.16,11.70,
2,9/19/2014 3:05:01,323,9/18/2014 20:05:01,11/10/2015 18:01:32,1,1.01,16.17,23.08,0.27,
3,9/19/2014 3:05:00,828,9/18/2014 20:05:00,11/10/2015 18:01:35,2,1.30,15.39,21.83,13.68,
4,9/19/2014 3:07:56,902,9/18/2014 20:07:56,11/10/2015 18:04:53,1,1.22,15.70,23.24,11.76,
5,9/19/2014 3:07:56,502,9/18/2014 20:07:56,11/10/2015 18:04:58,2,1.15,14.76,22.46,11.39,
6,9/19/2014 3:08:08,835,9/18/2014 20:08:08,11/10/2015 18:05:43,1,1.66,19.16,25.13,6.57,
7,9/19/2014 3:08:14,372,9/18/2014 20:08:14,11/10/2015 18:06:01,1,1.51,18.06,25.60,11.86,
8,9/19/2014 3:08:13,877,9/18/2014 20:08:13,11/10/2015 18:06:05,2,1.30,18.37,25.60,7.52,
9,9/19/2014 3:08:32,758,9/18/2014 20:08:32,11/10/2015 18:06:38,1,1.22,16.64,22.93,6.09,
10,9/19/2014 3:08:32,191,9/18/2014 20:08:32,11/10/2015 18:06:42,2,1.37,15.54,22.93,8.88,
11,9/19/2014 3:08:50,810,9/18/2014 20:08:50,11/10/2015 18:07:12,1,1.44,18.53,27.17,11.21,
12,9/19/2014 3:08:50,25,9/18/2014 20:08:50,11/10/2015 18:07:16,2,1.66,18.53,27.48,10.66,
13,9/19/2014 3:09:13,516,9/18/2014 20:09:13,11/10/2015 18:08:09,1,1.51,16.49,22.14,14.22,
14,9/19/2014 3:09:12,977,9/18/2014 20:09:12,11/10/2015 18:08:13,2,1.51,14.92,20.89,10.23,
15,9/19/2014 3:09:29,669,9/18/2014 20:09:29,11/10/2015 18:08:36,1,1.66,18.69,27.64,16.06,
16,9/19/2014 3:09:29,169,9/18/2014 20:09:29,11/10/2015 18:08:41,2,1.44,18.69,25.75,8.20,
17,9/19/2014 3:09:48,364,9/18/2014 20:09:48,11/10/2015 18:09:01,1,1.22,16.02,21.67,6.48,
18,9/19/2014 3:09:47,847,9/18/2014 20:09:47,11/10/2015 18:09:05,2,1.51,15.39,22.77,6.74,
19,9/19/2014 3:10:03,929,9/18/2014 20:10:03,11/10/2015 18:09:11,1,1.22,18.69,28.42,4.18,
20,9/19/2014 3:10:03,390,9/18/2014 20:10:03,11/10/2015 18:09:14,2,1.51,17.74,26.38,12.56,
21,9/19/2014 3:10:27,540,9/18/2014 20:10:27,11/10/2015 18:09:47,1,1.44,18.21,24.65,13.11,
22,9/19/2014 3:10:27,45,9/18/2014 20:10:27,11/10/2015 18:09:51,2,1.37,18.37,27.32,14.32,
23,9/19/2014 3:10:44,395,9/18/2014 20:10:44,11/10/2015 18:10:13,1,1.44,17.90,23.56,3.66,
