"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,8/18/2014 3:15:06,463,8/17/2014 20:15:06,10/5/2015 18:58:04,2,2.74,-2.02,124.32,1.#Q,"noise                                             "
2,8/18/2014 3:15:23,31,8/17/2014 20:15:23,10/5/2015 18:58:24,2,2.45,-1.35,124.32,1.#Q,"noise                                             "
3,8/18/2014 3:15:29,3,8/17/2014 20:15:29,10/5/2015 18:58:30,2,5.78,-0.67,125.00,1.#Q,"noise                                             "
4,8/18/2014 3:16:52,574,8/17/2014 20:16:52,10/5/2015 18:59:44,2,2.16,0.00,122.29,7.48,"noise                                             "
5,8/18/2014 3:21:40,441,8/17/2014 20:21:40,10/5/2015 19:04:34,1,3.03,0.00,122.97,5.81,"noise                                             "
