"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,8/22/2014 3:14:53,569,8/21/2014 20:14:53,2/23/2016 19:54:43,1,1.59,14.56,25.08,21.97,
2,8/22/2014 3:14:52,684,8/21/2014 20:14:52,2/23/2016 19:54:46,2,1.73,14.91,24.73,23.51,
3,8/22/2014 3:26:26,305,8/21/2014 20:26:26,2/23/2016 20:01:00,1,17.14,39.10,49.70,6.18,
4,8/22/2014 3:26:27,414,8/21/2014 20:26:27,2/23/2016 20:01:03,2,6.29,41.66,47.88,4.40,
5,8/22/2014 3:28:52,423,8/21/2014 20:28:52,2/23/2016 20:02:28,1,1.30,14.56,21.57,14.30,
6,8/22/2014 3:28:51,500,8/21/2014 20:28:51,2/23/2016 20:02:31,2,1.51,14.73,21.40,17.38,
7,8/22/2014 3:32:40,361,8/21/2014 20:32:40,2/23/2016 20:05:09,1,1.01,16.14,21.92,3.99,
8,8/22/2014 3:32:39,327,8/21/2014 20:32:39,2/23/2016 20:05:13,2,1.51,15.08,21.75,14.43,
9,8/22/2014 3:46:12,955,8/21/2014 20:46:12,2/23/2016 20:12:48,1,1.44,13.85,22.98,19.62,
10,8/22/2014 3:46:14,970,8/21/2014 20:46:14,2/23/2016 20:12:51,2,1.59,14.73,23.15,-2.58,
11,8/22/2014 3:55:22,404,8/21/2014 20:55:22,2/23/2016 20:18:02,1,1.66,14.56,22.63,14.23,
12,8/22/2014 3:55:21,822,8/21/2014 20:55:21,2/23/2016 20:18:06,2,1.59,14.38,21.75,3.97,
13,8/22/2014 3:55:57,864,8/21/2014 20:55:57,2/23/2016 20:18:31,1,1.66,14.91,25.26,6.89,
14,8/22/2014 3:55:56,997,8/21/2014 20:55:56,2/23/2016 20:18:34,2,1.95,15.08,25.43,8.04,
15,8/22/2014 3:55:59,874,8/21/2014 20:55:59,2/23/2016 20:18:37,1,1.95,14.73,25.78,9.78,
16,8/22/2014 3:55:59,601,8/21/2014 20:55:59,2/23/2016 20:18:39,2,2.16,15.08,25.78,4.80,
17,8/22/2014 3:56:38,940,8/21/2014 20:56:38,2/23/2016 20:18:44,1,1.88,15.96,25.26,14.34,
18,8/22/2014 3:56:38,662,8/21/2014 20:56:38,2/23/2016 20:18:48,2,1.88,14.73,24.91,1.49,
19,8/22/2014 3:57:19,430,8/21/2014 20:57:19,2/23/2016 20:19:39,1,2.02,14.21,24.21,16.18,
20,8/22/2014 3:57:19,196,8/21/2014 20:57:19,2/23/2016 20:19:42,2,1.88,14.56,24.56,1.90,
21,8/22/2014 3:57:58,242,8/21/2014 20:57:58,2/23/2016 20:20:21,1,1.95,14.25,25.95,10.31,
22,8/22/2014 3:57:58,82,8/21/2014 20:57:58,2/23/2016 20:20:23,2,2.02,14.61,24.12,10.13,
23,8/22/2014 4:00:46,334,8/21/2014 21:00:46,2/23/2016 20:21:44,1,1.88,14.73,23.33,8.34,
24,8/22/2014 4:00:46,51,8/21/2014 21:00:46,2/23/2016 20:21:47,2,1.59,14.73,24.03,7.43,
