"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/1/2014 5:11:41,604,8/31/2014 22:11:41,10/20/2015 17:40:40,1,1.08,18.24,26.35,3.79,
2,9/1/2014 5:11:41,304,8/31/2014 22:11:41,10/20/2015 17:40:47,2,1.15,18.91,27.02,-0.31,
3,9/1/2014 5:11:42,490,8/31/2014 22:11:42,10/20/2015 17:41:28,1,0.86,17.56,31.08,8.79,
4,9/1/2014 5:11:42,657,8/31/2014 22:11:42,10/20/2015 17:41:34,2,1.15,20.27,31.08,-1.32,
5,9/1/2014 5:11:43,536,8/31/2014 22:11:43,10/20/2015 17:42:14,1,1.22,17.56,29.72,1.16,
6,9/1/2014 5:11:44,82,8/31/2014 22:11:44,10/20/2015 17:42:17,2,0.94,18.24,32.43,1.39,
7,9/1/2014 5:11:45,11,8/31/2014 22:11:45,10/20/2015 17:42:53,1,1.15,18.91,29.72,1.24,
8,9/1/2014 5:11:45,557,8/31/2014 22:11:45,10/20/2015 17:42:56,2,1.30,18.91,30.40,3.79,
9,9/1/2014 5:11:46,920,8/31/2014 22:11:46,10/20/2015 17:43:32,1,1.44,18.24,29.05,-2.98,
10,9/1/2014 5:11:47,449,8/31/2014 22:11:47,10/20/2015 17:43:36,2,1.15,20.94,29.72,-6.07,
11,9/1/2014 5:11:49,480,8/31/2014 22:11:49,10/20/2015 17:44:07,1,1.15,18.24,29.72,1.76,
12,9/1/2014 5:11:49,736,8/31/2014 22:11:49,10/20/2015 17:44:10,2,1.37,18.91,27.70,5.03,
13,9/1/2014 5:11:53,281,8/31/2014 22:11:53,10/20/2015 17:44:37,1,1.08,19.59,30.40,3.55,
14,9/1/2014 5:11:52,942,8/31/2014 22:11:52,10/20/2015 17:44:41,2,1.30,21.62,31.08,4.77,
15,9/1/2014 5:11:54,773,8/31/2014 22:11:54,10/20/2015 17:45:38,1,1.01,19.59,31.08,-2.04,
16,9/1/2014 5:11:54,272,8/31/2014 22:11:54,10/20/2015 17:45:44,2,1.08,20.94,31.08,-0.47,
17,9/1/2014 5:11:55,781,8/31/2014 22:11:55,10/20/2015 17:46:19,1,0.86,20.27,33.78,3.03,
18,9/1/2014 5:11:55,547,8/31/2014 22:11:55,10/20/2015 17:46:21,2,1.08,19.59,32.43,1.91,
19,9/1/2014 5:11:57,144,8/31/2014 22:11:57,10/20/2015 17:46:55,1,1.08,20.94,33.10,-1.05,
20,9/1/2014 5:11:56,733,8/31/2014 22:11:56,10/20/2015 17:46:58,2,1.15,21.62,33.10,-0.69,
21,9/1/2014 5:11:58,502,8/31/2014 22:11:58,10/20/2015 17:47:24,1,1.30,20.94,31.08,-0.96,
22,9/1/2014 5:11:58,146,8/31/2014 22:11:58,10/20/2015 17:47:27,2,1.37,19.59,32.43,-3.59,
23,9/1/2014 5:12:35,381,8/31/2014 22:12:35,10/20/2015 17:49:04,1,1.15,18.91,27.70,0.70,
24,9/1/2014 5:12:35,142,8/31/2014 22:12:35,10/20/2015 17:49:08,2,1.15,18.24,26.35,1.92,
25,9/1/2014 5:12:39,83,8/31/2014 22:12:39,10/20/2015 17:49:35,1,1.30,16.89,27.02,3.28,
26,9/1/2014 5:12:38,827,8/31/2014 22:12:38,10/20/2015 17:49:38,2,1.44,18.24,26.35,1.61,
27,9/1/2014 5:12:51,610,8/31/2014 22:12:51,10/20/2015 17:50:16,1,1.30,18.24,26.35,1.43,
28,9/1/2014 5:12:51,477,8/31/2014 22:12:51,10/20/2015 17:50:19,2,1.44,18.91,26.35,3.22,
29,9/1/2014 5:13:19,825,8/31/2014 22:13:19,10/20/2015 17:51:19,1,1.08,19.59,27.02,2.92,
30,9/1/2014 5:13:20,504,8/31/2014 22:13:20,10/20/2015 17:51:22,2,1.15,18.24,27.02,2.44,
31,9/1/2014 5:13:21,273,8/31/2014 22:13:21,10/20/2015 17:51:45,1,1.30,17.56,28.37,3.04,
32,9/1/2014 5:13:21,879,8/31/2014 22:13:21,10/20/2015 17:51:47,2,1.08,18.24,28.37,3.44,
33,9/1/2014 5:13:23,182,8/31/2014 22:13:23,10/20/2015 17:52:07,1,1.22,18.24,28.37,-4.01,
34,9/1/2014 5:13:23,572,8/31/2014 22:13:23,10/20/2015 17:52:10,2,1.44,18.24,29.05,-6.44,
35,9/1/2014 5:13:54,657,8/31/2014 22:13:54,10/20/2015 17:53:01,1,1.44,17.56,26.35,5.51,
36,9/1/2014 5:13:55,52,8/31/2014 22:13:55,10/20/2015 17:53:04,2,1.22,18.24,27.02,8.32,
37,9/1/2014 5:13:56,88,8/31/2014 22:13:56,10/20/2015 17:53:32,1,1.08,16.89,27.70,3.38,
38,9/1/2014 5:13:56,333,8/31/2014 22:13:56,10/20/2015 17:53:35,2,1.44,18.24,30.40,4.45,
39,9/1/2014 5:13:57,926,8/31/2014 22:13:57,10/20/2015 17:53:55,1,1.44,18.91,27.02,-2.66,
40,9/1/2014 5:13:58,315,8/31/2014 22:13:58,10/20/2015 17:53:58,2,1.08,17.56,29.05,-8.47,
41,9/1/2014 5:14:07,681,8/31/2014 22:14:07,10/20/2015 17:54:23,1,1.22,18.24,29.05,5.56,
42,9/1/2014 5:14:08,432,8/31/2014 22:14:08,10/20/2015 17:54:26,2,1.37,18.91,31.75,3.64,
43,9/1/2014 5:14:13,931,8/31/2014 22:14:13,10/20/2015 17:54:53,1,1.30,15.54,25.00,3.85,
44,9/1/2014 5:14:14,538,8/31/2014 22:14:14,10/20/2015 17:54:55,2,1.30,16.21,25.00,5.05,
45,9/1/2014 5:14:15,440,8/31/2014 22:14:15,10/20/2015 17:55:20,1,1.08,14.86,27.70,1.45,
