"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,11/22/2014 3:56:42,803,11/21/2014 19:56:42,2/4/2016 21:15:22,1,20.97,39.82,47.93,3.33,
2,11/22/2014 3:56:49,437,11/21/2014 19:56:49,2/4/2016 21:15:25,2,9.25,39.45,45.35,10.42,
3,11/22/2014 4:43:48,975,11/21/2014 20:43:48,2/4/2016 21:32:34,1,2.02,38.34,57.52,7.21,"noise                                             "
4,11/22/2014 4:43:58,583,11/21/2014 20:43:58,2/4/2016 21:32:41,1,6.87,50.51,70.05,8.62,"noise                                             "
5,11/22/2014 4:44:09,68,11/21/2014 20:44:09,2/4/2016 21:32:47,1,2.82,46.46,64.89,8.00,"noise                                             "
6,11/22/2014 4:46:16,804,11/21/2014 20:46:16,2/4/2016 21:33:43,1,6.29,25.07,48.67,11.46,"noise                                             "
7,11/22/2014 4:54:29,32,11/21/2014 20:54:29,2/4/2016 21:36:16,1,2.09,37.97,53.83,8.40,"noise                                             "
8,11/22/2014 4:55:03,573,11/21/2014 20:55:03,2/4/2016 21:36:25,1,3.11,42.40,61.94,7.63,"noise                                             "
9,11/22/2014 5:00:36,676,11/21/2014 21:00:36,2/4/2016 21:37:56,1,2.82,51.62,67.84,4.02,"noise                                             "
10,11/22/2014 5:01:21,901,11/21/2014 21:01:21,2/4/2016 21:38:19,1,2.53,40.56,66.00,5.08,"noise                                             "
11,11/22/2014 5:01:27,923,11/21/2014 21:01:27,2/4/2016 21:38:23,1,7.88,36.13,58.99,8.49,"noise                                             "
12,11/22/2014 5:02:00,902,11/21/2014 21:02:00,2/4/2016 21:38:27,1,3.11,30.23,53.09,6.02,"noise                                             "
13,11/22/2014 5:02:22,397,11/21/2014 21:02:22,2/4/2016 21:38:32,1,2.74,32.07,53.83,9.09,"noise                                             "
14,11/22/2014 5:02:42,765,11/21/2014 21:02:42,2/4/2016 21:38:43,1,2.24,55.30,74.48,11.45,"noise                                             "
15,11/22/2014 5:02:50,642,11/21/2014 21:02:50,2/4/2016 21:38:46,1,7.95,36.87,67.10,9.58,"noise                                             "
16,11/22/2014 5:03:03,309,11/21/2014 21:03:03,2/4/2016 21:38:50,1,2.45,34.29,59.73,6.94,"noise                                             "
17,11/22/2014 5:05:14,479,11/21/2014 21:05:14,2/4/2016 21:39:21,1,3.32,31.34,52.35,9.61,"noise                                             "
18,11/22/2014 5:05:34,726,11/21/2014 21:05:34,2/4/2016 21:39:26,1,1.88,39.08,54.20,6.17,"noise                                             "
19,11/22/2014 5:06:05,556,11/21/2014 21:06:05,2/4/2016 21:39:32,1,6.65,30.23,56.78,8.25,"noise                                             "
20,11/22/2014 5:20:40,710,11/21/2014 21:20:40,2/4/2016 21:43:44,1,6.72,51.99,77.80,15.18,"noise                                             "
21,11/22/2014 5:20:55,36,11/21/2014 21:20:55,2/4/2016 21:43:55,1,18.37,42.03,73.00,11.85,"noise                                             "
22,11/22/2014 5:21:26,716,11/21/2014 21:21:26,2/4/2016 21:44:05,1,2.89,40.92,60.10,8.36,"noise                                             "
23,11/22/2014 5:21:38,476,11/21/2014 21:21:38,2/4/2016 21:44:11,1,2.16,44.24,61.57,3.53,"noise                                             "
24,11/22/2014 5:21:43,954,11/21/2014 21:21:43,2/4/2016 21:44:16,1,10.56,33.92,58.99,7.60,"noise                                             "
